2 40 0 0    0.786    1.512    0.483    0.843    0.774    0.601 1 2 3 4 5 6  1231.484  342.786  1130.216  450.449  532.838  298.290 
2 41 0 1    0.617    0.405    0.866    0.251    1.417    1.444 2 2 2 2 2 2  617.115  521.299  730.619  248.967  546.894  761.463 
2 42 0 0    0.733    1.148    0.893    0.607    0.883    0.737 1 2 3 4 5 6  1492.974  342.218  425.248  314.867  295.804  414.339 
2 43 0 1    1.190    0.752    0.282    1.037    0.571    1.168 3 3 3 3 3 3  1616.770  630.952  741.417  229.390  719.897  714.544 
2 44 0 0    1.144    0.763    0.367    0.516    1.541    0.668 1 2 3 4 6 5  1980.440  358.802  372.728  359.078  273.303  296.647 
2 45 0 0    0.576    1.166    0.793    0.805    0.964    0.695 1 2 4 3 5 6  1768.582  560.955  400.313  538.471  513.870  290.066 
2 46 0 1    1.134    1.122    0.906    0.846    0.551    0.440 -9 -9 -9 -9 -9 -9  658.992  722.830  893.804  676.368  731.674  772.560 
2 47 0 0    0.211    0.731    0.304    1.670    0.675    1.408 1 2 3 4 5 6  1336.322  317.872  695.006  334.136  537.906  271.652 
2 48 0 0    1.729    0.905    0.809    0.836    0.221    0.499 1 2 -9 4 5 6  1526.421  370.076  788.707  408.456  881.951  651.472 
2 49 0 0    1.010    0.534    0.412    0.976    1.120    0.948 1 2 3 4 5 1  1231.820  361.732  366.808  345.910  337.372  1237.589 
2 50 0 0    0.845    1.209    0.496    1.273    0.713    0.463 1 2 3 4 5 6  1127.314  406.002  727.946  373.191  428.264  315.302 
2 51 0 0    1.272    0.746    0.772    0.455    1.409    0.345 1 2 3 4 5 6  1374.508  320.690  672.894  449.799  513.374  771.761 
2 52 0 1    1.195    0.790    0.606    1.028    1.036    0.346 -9 -9 -9 -9 -9 -9  753.020  823.995  788.517  904.086  596.058  896.537 
2 53 0 0    0.222    1.052    1.125    0.850    0.900    0.851 1 2 3 4 5 6  1556.664  422.766  579.980  326.003  362.161  276.364 
2 54 0 0    0.971    0.244    0.844    1.361    0.912    0.668 1 4 2 3 5 6  1597.832  738.704  383.696  411.534  585.243  304.284 
2 55 0 1    0.516    0.782    1.423    0.578    0.868    0.833 -9 -9 -9 -9 -9 -9  1113.628  741.875  265.237  799.947  804.635  331.325 
2 56 0 1    0.756    0.989    0.651    0.605    0.836    1.163 3 3 3 3 3 3  623.991  602.037  560.775  528.541  398.129  681.880 
2 57 0 0    1.121    1.165    1.264    0.629    0.495    0.326 1 2 4 3 5 6  1646.070  524.911  425.684  1125.383  519.514  323.107 
2 58 0 0    0.983    1.411    0.600    0.800    0.944    0.262 1 2 3 4 5 6  1695.104  609.690  825.055  539.123  417.031  584.639 
2 59 0 0    0.571    0.904    0.538    1.114    0.943    0.930 1 2 3 4 5 6  1813.040  847.249  802.769  386.779  384.287  557.982 
2 60 0 1    0.808    0.748    0.573    0.647    0.832    1.391 2 2 2 2 2 2  753.550  673.327  651.760  849.671  513.728  657.369 
2 61 1 1    0.274    1.265    0.204    1.526    0.689    1.042 -9 -9 -9 -9 -9 -9  1039.190  807.881  353.178  675.322  380.985  389.093 
2 62 1 0    0.283    1.202    0.729    1.180    0.225    1.381 1 2 3 4 5 6  1882.136  333.861  292.320  1116.170  463.140  249.245 
2 63 1 1    0.848    0.875    1.370    0.382    0.996    0.528 -9 -9 -9 -9 -9 -9  1078.565  527.180  471.991  699.728  645.412  254.230 
2 64 1 0    1.820    1.443    0.321    0.792    0.343    0.282 1 2 3 4 5 -9  1877.103  337.100  287.615  483.136  802.422  404.306 
2 65 1 0    0.663    1.175    1.067    0.604    0.826    0.665 1 2 3 4 5 6  2055.976  312.116  254.511  717.491  549.581  367.026 
2 66 1 0    0.468    0.528    1.785    0.995    0.270    0.954 1 2 3 4 5 6  1103.404  538.896  298.119  427.999  890.812  425.025 
2 67 1 0    0.306    0.360    0.628    1.174    1.467    1.065 1 2 3 4 1 6  1356.796  645.390  461.603  973.190  910.116  240.681 
2 68 1 0    0.265    0.843    1.435    1.020    0.995    0.442 1 2 3 4 5 6  1304.577  366.958  337.269  780.543  312.086  334.537 
2 69 1 0    1.143    0.735    0.840    1.299    0.469    0.515 1 2 3 4 5 6  1500.103  521.431  348.423  436.542  312.277  259.603 
2 70 1 0    0.462    0.915    0.228    1.222    0.862    1.311 1 2 3 4 5 6  1816.679  411.417  306.521  604.366  501.616  420.567 
2 71 1 1    0.625    0.712    0.834    0.882    0.862    1.086 -9 -9 -9 -9 -9 -9  888.448  656.407  425.886  659.446  734.072  326.066 
2 72 1 1    0.509    0.877    1.078    0.564    0.644    1.328 -9 -9 -9 -9 -9 -9  888.775  617.553  406.043  1051.163  1018.830  626.190 
2 73 1 0    1.119    0.983    0.261    0.955    1.112    0.570 1 2 3 4 5 -9  1554.964  372.699  455.626  403.338  494.390  529.860 
2 74 1 1    1.454    0.262    0.652    0.676    1.639    0.317 -9 -9 -9 -9 -9 -9  820.244  599.414  315.162  425.589  593.691  506.219 
2 75 1 1    0.599    0.400    0.735    1.156    1.282    0.829 2 2 2 2 2 2  539.408  510.382  298.590  430.803  511.182  639.967 
2 76 1 0    1.359    0.358    1.356    0.560    0.249    1.119 1 2 3 4 5 6  1500.223  717.434  320.501  400.425  491.652  342.889 
2 77 1 1    0.690    0.458    1.005    0.789    0.764    1.293 -9 -9 -9 -9 -9 -9  815.027  483.662  356.356  456.193  802.705  562.749 
2 78 1 1    0.341    0.798    1.266    0.372    0.950    1.273 -9 -9 -9 -9 -9 -9  589.414  496.897  379.156  629.776  516.971  695.955 
2 79 1 0    1.443    0.848    1.221    0.351    0.634    0.504 1 2 3 4 5 6  1299.694  246.454  339.921  471.537  348.093  237.666 
