1   2   1   11   56   D   G   J   H   W   D   G   J   H   W   1.442   1.853   1.394   1.881   1.487
1   2   1   0   57   N   Z   J   X   T   N   Z   J   X   P   1.377   1.432   1.197   1.085   1.412
1   2   1   0   58   X   T   B   L   F   X   T   B   L   F   2.501   1.652   1.019   1.049   0.723
1   2   1   1   59   J   B   T   M   F   J   P   D   L   F   1.378   1.904   1.783   1.654   1.289
1   2   1   1   60   W   F   R   G   K   W   F   R   G   K   1.162   2.093   2.135   1.812   1.275
2   1   1   11   1   H   V   P   F   C   H   V   P   C   C   0.895   2.166   1.85   2.259   2.639
2   1   1   13   2   L   G   P   D   S   L   G   P   C   J   1.802   3.062   2.143   2.928   3.159
2   1   1   13   3   T   H   X   L   S   T   H   X   L   C   2.084   2.316   2.488   2.222   3.494
2   1   1   1   4   F   B   J   K   G   F   K   G   P   C   1.818   2.905   3.777   3.136   2.65
2   1   1   0   5   C   N   Z   L   J   C   N   Z   L   P   1.805   1.61   2.18   1.89   2.413
2   1   1   0   6   N   J   T   X   W   N   J   T   X   W   1.679   1.848   1.483   2.595   1.421
2   1   1   13   7   V   M   R   N   T   N   W   C   W   P   3.439   3.544   2.53   3.492   2.799
2   1   1   11   8   F   W   Z   N   R   F   W   P   L   J   1.439   2.261   2.495   3.748   2.206
2   1   1   1   9   L   P   W   T   D   L   P   T   D   P   1.86   2.422   2.582   2.329   2.291
2   1   1   3   10   J   Z   W   C   B   J   Z   W   C   K   1.922   2.662   3.161   3.145   2.944
2   1   1   11   11   K   D   L   C   G   K   C   L   D   E   1.965   2.396   2.345   2.368   2.586
2   1   1   1   12   M   W   P   R   N   M   W   P   R   N   1.119   2.383   2.278   1.913   2.102
2   1   1   1   13   Z   T   P   V   M   Z   T   D   P   D   2.178   2.182   1.822   2.427   1.617
2   1   1   13   14   D   H   S   P   L   D   H   S   L   C   1.777   1.845   2.049   2.329   3.01
2   1   1   11   15   G   B   W   P   S   G   B   D   W   C   2.286   1.995   2.609   2.463   2.118
