  1 2 12      0  58  X T B L F  X  T  B  L  F    1.012    0.912    0.845    0.631    0.790 
  1 2 12      1  59  J B T M F  J  B  T  M  F    1.135    1.581    1.529    1.581    1.527 
  1 2 12      1  60  W F R G K  W  F  R  G  K    1.523    1.580    1.234    2.156    1.382 
  2 1  5     11   1  H V P F C  H  V  P  F  C    1.889    2.199    2.119    2.370    1.955 
  2 1  5     13   2  L G P D S  L  G  P  D  S    1.566    2.492    3.208    2.612    2.586 
  2 1  5     13   3  T H X L S  T  H  X  L  S    2.463    3.341    4.024    3.584    2.976 
  2 1  5      1   4  F B J K G  F  B  J  K  G    1.819    2.253    3.015    3.552    2.212 
  2 1  5      0   5  C N Z L J  C  N  Z  L  T    3.468    2.776    1.970    3.074    3.245 
  2 1  5      0   6  N J T X W  N  J  T  X  W    1.309    0.695    1.445    2.104    0.938 
  2 1  5     13   7  V M R N T  V  M  R  N  T    1.498    2.240    2.008    2.306    1.982 
  2 1  5     11   8  F W Z N R  F  W  Z  N  R    1.405    1.999    1.955    1.800    1.650 
  2 1  5      1   9  L P W T D  L  P  W  T  D    1.150    1.661    1.726    2.171    1.607 
  2 1  5      3  10  J Z W C B  J  Z  W  T  D    1.392    2.561    2.375    2.952    2.761 
  2 1  5     11  11  K D L C G  K  D  L  C  G    1.940    1.515    2.591    2.745    2.467 
  2 1  5      1  12  M W P R N  M  W  P  R  N    1.514    2.183    1.664    1.647    1.689 
  2 1  5      1  13  Z T P V M  Z  T  P  M  M    1.481    1.438    1.501    5.715    2.804 
  2 1  5     13  14  D H S P L  D  H  M  M  L    2.182    3.005    3.648    5.699    2.656 
  2 1  5     11  15  G B W P S  G  B  W  B  S    2.126    1.795    2.010    1.704    1.954 
  2 1  5      3  16  J Z D M H  J  Z  D  F  H    1.646    2.815    2.094    2.268    2.884 
  2 1  5      0  17  L S X K T  L  S  X  K  T    1.310    3.416    1.528    2.158    0.989 
  2 1  5     13  18  F G H V P  F  J  H  P  T    1.443    2.441    2.654    2.158    2.560 
  2 1  5      0  19  X L B V C  X  L  B  V  C    2.033    0.857    1.166    0.991    0.911 
  2 1  5      3  20  V C B T M  V  C  B  T  M    1.901    2.749    2.589    2.265    2.428 
  2 1  5     11  21  J D S B G  J  D  M  B  G    2.047    1.739    2.347    1.674    3.834 
  2 1  5      1  22  D N T H W  D  N  T  M  H    1.162    3.973    2.776    2.605    2.453 
  2 1  5      3  23  L J W Z P  L  J  W  P  H    1.542    3.997    4.155    2.643    3.299 
  2 1  5      3  24  C P T D F  C  P  T  D  F    1.526    2.337    2.438    2.653    2.656 
  2 1  5      0  25  P G F X J  P  G  F  X  J    1.246    1.834    1.043    2.077    1.532 
  2 1  5      3  26  T P C Z M  T  P  J  H  M    1.859    2.725    5.365    4.250    2.630 
  2 1  5     13  27  S B J N P  S  B  J  N  P    1.750    2.536    2.589    2.926    2.697 
  2 1  5      0  28  Z C B L K  Z  C  P  L  P    0.881    1.582    1.463    2.120    1.299 
  2 1  5      0  29  L T Z F S  L  T  Z  F  S    0.667    1.029    3.860    1.395    1.086 
  2 1  5      1  30  Z P J B K  Z  P  J  B  K    1.835    1.801    3.391    2.225    1.947 
  2 1  5      3  31  W B K X N  W  B  X  B  N    1.018    2.093    2.749    2.642    2.333 
  2 1  5      1  32  J H C T K  J  H  C  T  K    1.446    2.078    1.381    1.527    1.998 
  2 1  5      0  33  Z C J M S  Z  C  J  M  H    1.389    0.978    1.665    1.101    1.205 
  2 1  5      1  34  D B R Z P  D  B  R  Z  P    1.287    1.395    1.582    3.648    1.852 
  2 1  5      0  35  K M L V B  K  M  L  B  B    0.681    0.872    0.802    0.938    2.265 
  2 1  5     13  36  Z P K M N  Z  V  P  M  N    1.851    4.363    4.067    4.076    2.830 
  2 1  5      1  37  H S F K B  H  S  J  M  N    1.944    1.730    3.261    3.354    3.891 
  2 1  5      1  38  L R T J S  S  R  J  T  N    3.005    1.745    2.081    1.877    1.985 
  2 1  5     11  39  N H F X K  N  H  X  X  N    1.206    2.416    2.910    1.959    1.932 
  2 1  5     13  40  C D R Z P  C  D  R  Z  N    1.932    2.226    3.113    4.452    3.329 
  2 1  5     11  41  J T D G N  J  T  D  J  N    1.539    1.608    2.293    2.242    1.799 
  2 1  5      0  42  N Z C T K  N  Z  C  T  K    1.193    1.259    1.880    1.839    1.085 
  2 1  5      1  43  W K C V R  W  K  C  T  R    1.445    1.944    2.039    2.644    2.053 
  2 1  5      0  44  Z X L N H  Z  X  L  N  H    1.139    1.568    0.871    3.635    1.892 
  2 1  5     11  45  L P T X M  L  P  T  X  M    1.623    1.326    1.593    1.946    1.691 
  2 1  5     11  46  D P M G V  D  P  M  J  V    1.382    1.304    1.812    1.771    2.143 
  2 1  5     11  47  V H F D C  V  H  M  D  C    1.275    2.643    2.388    1.837    2.480 
  2 1  5      3  48  K G X D B  K  J  X  D  C    1.235    2.576    2.586    2.214    2.226 
  2 1  5      3  49  S W R Z F  S  W  R  Z  F    1.611    2.455    3.370    2.534    2.270 
  2 1  5      3  50  D H K G B  D  H  K  G  B    2.668    4.351    2.443    2.644    2.227 
  2 1  5     11  51  J V N Z W  J  V  N  V  W    2.052    2.036    3.733    2.053    2.077 
  2 1  5     11  52  L N R M J  L  N  R  M  G    1.289    1.476    1.490    1.690    2.386 
  2 1  5      0  53  T V W P S  T  V  W  P  S    1.205    2.282    0.994    0.792    0.990 
  2 1  5     13  54  D T B M Z  D  T  B  M  J    1.649    2.244    2.482    3.116    3.181 
  2 1  5     13  55  R V B T H  R  V  B  T  H    1.464    2.427    3.330    4.185    3.623 
  2 1  5     13  56  R M V T P  R  M  V  T  P    1.734    2.428    2.173    2.310    2.552 
  2 1  5      3  57  N S D V R  N  S  D  V  R    1.838    1.837    2.268    2.387    2.081 
  2 1  5     13  58  F D P M B  F  D  P  M  B    1.314    2.132    3.276    2.280    2.280 
  2 1  5      3  59  T G Z N K  T  G  Z  N  P    3.583    3.852    2.414    2.966    2.564 
