  1  1      0  43  B F Z C D   0.000   0.000   0.000   0.000   0.000  B  F  Z  C  D    1.163    0.341    0.920    1.395    0.704 
  1  1     13  44  Z M K L G   2.214   3.615   2.214   2.190   2.614  Z  M  T  D  S    1.860    0.158    1.489    1.058    1.470 
  1  1      0  45  Z K H C N   0.000   0.000   0.000   0.000   0.000  Z  K  H  C  N    1.225    0.728    0.583    0.583    0.750 
  1  1      1  46  F B M J N   1.502   0.927   0.951   1.046   0.998  F  B  M  J  N    1.930    0.886    0.945    0.654    1.230 
  1  1      4  47  T P J L S   2.733   2.735   3.166   3.494   2.550  T  P  J  S  L    3.568    0.536    2.417    1.546    1.367 
  1  1     13  48  R N G D V   2.686   2.358   3.167   2.686   2.878  R  N  F  T  V    2.423    0.208    1.510    1.608    1.223 
  2  1      1   1  R T V C S   1.595   1.190   1.447   1.190   1.094  R  T  C  V  S    1.927    0.464    1.251    0.779    0.398 
  2  1     13   2  S L J N Z   2.588   3.590   4.166   4.070   3.334  S  L  J  M  Z    3.002    0.464    0.318    4.111    0.222 
  2  1      4   3  S C W H Z   3.094   3.166   3.543   3.142   2.998  S  C  W  H  Z    2.762    0.466    0.632    0.497    0.559 
  2  1      4   4  M G F R N   3.158   3.166   4.118   3.382   3.614  M  G  F  R  N    1.783    0.586    1.658    1.086    0.969 
  2  1     13   5  M Z B S D   3.326   4.406   4.494   4.095   3.686  M  Z  B  S  D    1.553    0.633    0.560    0.630    1.246 
  2  1      0   6  P X J W M   0.000   0.000   0.000   0.000   0.000  P  X  J  W  M    1.619    0.414    0.345    0.470    0.543 
  2  1     13   7  K F T C W   2.350   2.878   3.855   3.454   2.494  K  F  T  C  N    2.264    0.824    2.464    0.658    1.680 
  2  1     13   8  G H V T N   2.526   3.166   4.254   4.310   3.118  G  H  V  T  N    2.375    0.283    1.510    1.653    1.201 
  2  1      0   9  C S M X W   0.000   0.000   0.000   0.000   0.000  C  S  M  X  W    1.447    0.583    0.870    0.705    0.347 
  2  1      4  10  D L Z T J   3.022   3.214   3.566   3.478   3.423  D  L  Z  T  J    1.568    0.330    0.491    0.659    0.611 
  2  1      4  11  P S V R M   2.622   2.758   3.638   2.998   2.687  P  S  V  R  M    1.976    0.514    0.872    0.896    0.774 
  2  1      4  12  H D L B N   3.046   2.662   2.854   2.830   2.950  H  D  L  B  N    1.928    0.922    0.825    2.848    0.802 
  2  1      4  13  W V J D X   2.647   2.814   2.494   2.543   2.976  W  V  J  X  D    2.144    0.923    1.464    3.111    2.607 
  2  1      4  14  N K H F L   2.614   2.542   2.503   2.710   2.598  N  K  H  D  L    4.760    0.273    0.871    1.607    0.440 
  2  1     13  15  Z L J H G   2.359   2.997   2.662   2.454   2.374  Z  L  J  H  R    1.857    0.374    0.704    1.656    2.886 
  2  1     13  16  J H T R F   3.550   2.446   3.647   3.254   2.782  J  H  T  F  X    2.004    0.753    0.776    0.923    1.161 
  2  1      1  17  H B S X L   1.182   1.095   1.095   1.214   0.830  H  B  S  X  L    1.496    0.474    0.872    0.519    0.246 
  2  1      1  18  B M L G X   1.215   1.166   1.166   1.446   1.287  B  M  L  G  X    2.833    0.491    0.607    0.584    0.396 
  2  1      1  19  P T X H W   1.253   1.046   1.191   1.166   1.046  P  T  H  X  W    2.809    0.584    1.062    0.320    0.560 
  2  1     13  20  J S V B H   2.238   2.638   2.735   2.574   2.926  J  S  B  T  H    2.135    0.399    2.225    5.113    0.223 
  2  1      0  21  P W N X V   0.000   0.000   0.000   0.000   0.000  P  W  N  X  V    1.378    0.416    0.730    0.534    0.515 
  2  1      1  22  X T G R V   1.454   1.303   1.550   1.447   1.502  X  T  G  R  V    2.831    0.466    0.583    0.918    0.347 
  2  1      0  23  D P C F Z   0.000   0.000   0.000   0.000   0.000  D  P  C  F  Z    1.428    0.275    0.162    0.559    0.344 
  2  1      4  24  M H W F K   2.670   2.782   2.879   2.783   2.878  M  H  W  F  K    1.999    0.847    0.961    0.726    0.705 
  2  1      0  25  P V D X M   0.000   0.000   0.000   0.000   0.000  P  V  D  X  M    1.053    0.320    0.257    0.294    0.474 
  2  1      1  26  B G T X C   1.687   1.070   1.278   1.190   1.191  B  G  T  X  C    1.663    2.538    0.798    3.989    0.421 
