1     1     1     12     11     54     J     N     W     C     L     J     N     W     C     P     3.26     1.809     2.457     1.954     1.985
1     1     1     12     0     55     L     H     F     T     K     L     H     F     T     K     0.329     1.479     1.764     1.179     0.967
1     1     1     12     11     56     D     G     J     H     W     D     G     J     H     M     2.076     2.024     1.793     1.953     2.162
1     1     1     12     0     57     N     Z     J     X     T     N     Z     J     X     T     1.55     1.426     1.4     2.114     1.602
1     1     1     12     0     58     X     T     B     L     F     X     T     B     L     T     1.982     1.562     5.071     1.737     1.11
1     1     1     12     1     59     J     B     T     M     F     J     B     T     M     K     2.39     1.955     1.725     2.35     1.755
1     1     1     12     1     60     W     F     R     G     K     W     F     R     D     G     1.844     1.616     1.727     2.582     2.473
2     2     1     5     11     1     H     V     P     F     C     H     V     C     P     B     1.984     2.859     1.812     3.399     3.233
2     2     1     5     13     2     L     G     P     D     S     L     P     C     D     C     1.758     3.629     3.341     5.843     3.198
2     2     1     5     13     3     T     H     X     L     S     T     H     X     C     X     1.949     2.285     2.755     4.285     2.756
2     2     1     5     1     4     F     B     J     K     G     F     B     J     D     C     1.951     1.557     3.534     5.28     3.25
2     2     1     5     0     5     C     N     Z     L     J     C     N     J     L     K     1.868     1.774     2.741     1.759     0.63
2     2     1     5     0     6     N     J     T     X     W     N     J     T     W     X     1.197     1.009     3.853     1.313     1.314
2     2     1     5     13     7     V     M     R     N     T     V     M     R     C     M     1.947     2.715     2.215     4.825     1.788
2     2     1     5     11     8     F     W     Z     N     R     F     Z     M     J     K     2.108     5.174     3.818     5.536     1.88
2     2     1     5     1     9     L     P     W     T     D     L     P     W     T     J     2.044     2.272     2.187     2.016     1.507
2     2     1     5     3     10     J     Z     W     C     B     J     Z     W     Z     C     1.787     2.351     2.164     2.864     2.689
2     2     1     5     11     11     K     D     L     C     G     K     D     L     C     R     1.683     1.972     2.233     3.478     1.45
2     2     1     5     1     12     M     W     P     R     N     M     W     R     C     T     1.614     2.51     1.613     4.314     1.465
2     2     1     5     1     13     Z     T     P     V     M     Z     T     M     R     D     2.083     1.693     1.533     2.672     1.452
2     2     1     5     13     14     D     H     S     P     L     D     H     S     P     L     1.693     1.802     2.551     2.5     1.73
2     2     1     5     11     15     G     B     W     P     S     G     B     W     P     S     1.345     1.921     2.836     1.775     1.463
2     2     1     5     3     16     J     Z     D     M     H     J     Z     M     P     J     1.457     2.109     2.623     2.072     2.056
2     2     1     5     0     17     L     S     X     K     T     L     S     X     W     T     3.363     2.189     2.432     0.592     0.983
2     2     1     5     13     18     F     G     H     V     P     F     G     H     V     C     2.459     3.066     3.103     2.676     3.209
2     2     1     5     0     19     X     L     B     V     C     X     L     V     M     N     2.422     2.313     2.472     4.703     0.952
2     2     1     5     3     20     V     C     B     T     M     C     B     T     M     M     2.648     2.837     2.593     1.842     3.011
2     2     1     5     11     21     J     D     S     B     G     J     B     S     B     M     2.14     1.894     2.027     2.487     2.067
2     2     1     5     1     22     D     N     T     H     W     D     M     T     W     H     1.478     1.883     2.379     2.215     1.491
2     2     1     5     3     23     L     J     W     Z     P     L     J     W     S     B     1.954     3.266     2.487     5.216     1.91
2     2     1     5     3     24     C     P     T     D     F     C     P     T     S     P     1.709     2.019     1.53     2.77     1.345
2     2     1     5     0     25     P     G     F     X     J     P     G     B     X     J     2.369     1.583     3.612     0.873     1.116
2     2     1     5     3     26     T     P     C     Z     M     T     P     C     M     Z     2.353     1.938     2.216     2.043     1.597
2     2     1     5     13     27     S     B     J     N     P     S     B     J     N     P     2.207     1.935     4.26     2.807     2.511
2     2     1     5     0     28     Z     C     B     L     K     Z     C     B     L     Z     1.852     1.036     0.723     1.02     2.295
2     2     1     5     0     29     L     T     Z     F     S     L     T     Z     S     X     1.819     0.736     0.83     0.995     1.464
2     2     1     5     1     30     Z     P     J     B     K     J     P     T     C     P     1.965     2.095     1.571     2.027     1.817
2     2     1     5     3     31     W     B     K     X     N     W     B     K     X     R     2.571     1.746     1.801     2.232     1.157
2     2     1     5     1     32     J     H     C     T     K     J     H     T     C     R     1.215     1.611     1.583     1.462     1.802
2     2     1     5     0     33     Z     C     J     M     S     Z     J     C     M     R     2.745     2.688     1.436     1.561     1.744
2     2     1     5     1     34     D     B     R     Z     P     D     B     C     M     A     1.722     1.788     2.915     2.083     3.331
2     2     1     5     0     35     K     M     L     V     B     K     M     L     S     L     2.062     0.82     0.754     5.267     2.405
2     2     1     5     13     36     Z     P     K     M     N     Z     M     P     C     P     1.519     2.558     3.064     2.754     3.257
2     2     1     5     1     37     H     S     F     K     B     H     S     F     K     B     1.899     2.591     2.66     2.045     1.61
2     2     1     5     1     38     L     R     T     J     S     L     J     T     M     N     2.184     3.169     2.164     3.09     2.485
2     2     1     5     11     39     N     H     F     X     K     N     H     F     X     K     2.771     2.028     2.335     2.567     3.133
2     2     1     5     13     40     C     D     R     Z     P     C     D     R     X     P     2.112     1.844     2.475     2.836     3.106
2     2     1     5     11     41     J     T     D     G     N     J     T     X     R     M     2.597     3.803     6.639     2.784     2.164
2     2     1     5     0     42     N     Z     C     T     K     N     Z     C     T     K     1.471     1.193     1.117     1.585     1.129
2     2     1     5     1     43     W     K     C     V     R     W     K     C     M     R     1.547     2.368     1.53     5.685     2.135
2     2     1     5     0     44     Z     X     L     N     H     Z     X     L     N     H     1.912     1.505     0.954     0.94     0.725
2     2     1     5     11     45     L     P     T     X     M     L     P     T     X     M     1.538     2.255     3.062     2.447     1.894
2     2     1     5     11     46     D     P     M     G     V     D     P     M     G     V     1.394     2.152     2.378     2.407     1.637
2     2     1     5     11     47     V     H     F     D     C     V     H     S     D     C     1.779     1.867     2.429     2.296     1.802
2     2     1     5     3     48     K     G     X     D     B     K     G     X     D     B     2.182     6.01     2.929     2.149     1.493
2     2     1     5     3     49     S     W     R     Z     F     S     W     R     Z     F     1.94     2.15     1.925     2.298     1.276
2     2     1     5     3     50     D     H     K     G     B     D     H     H     R     S     2.84     2.528     31.876     1.653     1.853
2     2     1     5     11     51     J     V     N     Z     W     J     V     N     Z     C     1.795     2.215     3.133     2.5     4.664
2     2     1     5     11     52     L     N     R     M     J     L     M     R     J     Z     2.292     3.078     2.349     2.982     2.256
2     2     1     5     0     53     T     V     W     P     S     T     V     W     C     S     1.622     0.834     0.806     4.825     0.293
2     2     1     5     13     54     D     T     B     M     Z     D     T     B     M     Z     1.552     2.557     2.139     3.01     2.35
2     2     1     5     13     55     R     V     B     T     H     R     B     T     C     M     1.913     1.909     3.871     2.728     3.417
2     2     1     5     13     56     R     M     V     T     P     R     M     V     C     J     2.332     2.029     2.498     3.362     2.516
2     2     1     5     3     57     N     S     D     V     R     N     S     D     V     R     1.539     2.487     4.088     2.686     2.338
2     2     1     5     13     58     F     D     P     M     B     F     M     P     C     R     2.302     2.836     2.956     3.386     3.619
2     2     1     5     3     59     T     G     Z     N     K     T     G     K     M     C     2.051     2.516     1.548     5.121     2.647
2     2     1     5     1     60     J     S     H     W     Z     J     S     H     W     H     2.104     2.619     1.99     2.768     4.426
3     3     1     10     13     1     R     V     C     T     L     R     C     V     T     L     1.273     5.115     1.926     1.633     1.462
3     3     1     10     3     2     K     D     H     P     W     K     D     P     W     P     1.517     2.448     2.544     2.247     5.614
3     3     1     10     3     3     D     P     K     N     X     D     P     K     N     X     2.015     2.519     1.431     1.524     1.886
3     3     1     10     3     4     G     V     T     N     W     G     V     T     V     W     1.615     2.076     2.836     4.765     2.45
3     3     1     10     1     5     J     G     N     K     R     J     T     K     N     R     2.141     2.354     1.415     1.294     1.148
3     3     1     10     0     6     J     G     W     D     F     J     G     D     T     W     3.868     3.081     0.669     2.116     0.491
3     3     1     10     13     7     W     J     N     F     K     W     J     K     N     F     1.736     2.223     1.805     1.445     1.846
3     3     1     10     11     8     X     R     C     N     G     X     R     N     C     V     1.359     1.485     1.206     1.418     3.709
3     3     1     10     3     9     T     H     X     M     W     T     H     X     K     N     1.364     2.117     4.484     1.472     1.607
3     3     1     10     0     10     K     P     V     F     S     K     P     V     S     N     0.826     0.321     1.256     0.814     1.595
3     3     1     10     0     11     R     S     W     C     H     R     S     W     C     H     0.341     0.25     0.428     0.72     0.106
3     3     1     10     11     12     P     V     S     F     K     P     V     S     F     K     1.459     1.74     1.338     1.337     1.046
3     3     1     10     0     13     V     B     P     C     F     V     B     P     D     F     1.067     1.167     0.343     1.752     11.524
3     3     1     10     3     14     J     F     C     W     V     S     D     E     F     V     2.866     1.58     2.327     2.21     3.185
3     3     1     10     11     15     J     Z     D     L     H     J     Z     D     L     H     1.082     1.658     1.27     1.473     1.619
3     3     1     10     1     16     B     S     X     C     W     B     S     X     V     E     0.985     1.122     2.115     2.521     1.497
3     3     1     10     3     17     X     N     D     P     K     X     D     N     F     S     0.681     3.215     1.941     3.884     1.901
3     3     1     10     11     18     D     L     N     F     P     D     L     N     F     P     2.194     1.673     1.337     1.255     1.515
3     3     1     10     1     19     F     K     D     X     G     F     K     D     X     G     0.72     1.379     1.122     2.732     1.381
3     3     1     10     13     20     K     D     L     R     V     K     D     L     F     V     3.401     1.992     1.794     1.617     1.966
3     3     1     10     3     21     F     V     R     Z     S     F     V     N     Z     S     0.559     1.901     4.623     2.126     2.475
3     3     1     10     0     22     M     Z     P     W     B     M     Z     P     Q     D     0.748     0.613     0.496     0.051     0.225
3     3     1     10     1     23     T     J     G     M     L     T     J     Q     L     B     1.847     2.936     3.922     1.904     1.121
3     3     1     10     13     24     M     T     H     B     N     M     T     H     B     N     1.605     2.556     3.39     2.516     1.488
3     3     1     10     11     25     V     Z     T     R     W     V     Z     T     W     R     0.495     1.298     1.273     4.717     1.354
3     3     1     10     0     26     B     Z     K     X     H     B     Z     K     H     V     0.707     0.224     0.844     0.843     2.209
3     3     1     10     13     27     H     P     C     J     B     P     C     H     H     B     2.546     2.124     2.209     1.862     2.827
3     3     1     10     11     28     W     G     P     C     F     W     G     P     C     F     0.573     2.304     1.407     1.214     1.583
3     3     1     10     13     29     X     V     B     K     W     X     B     V     F     B     0.427     1.782     1.582     4.221     2.838
3     3     1     10     1     30     C     Z     M     R     W     C     Z     M     B     V     0.72     1.778     1.288     2.167     1.781
3     3     1     10     11     31     D     W     J     R     F     D     J     W     R     F     0.386     1.566     3.426     1.754     1.246
3     3     1     10     0     32     F     N     L     P     B     F     N     L     P     B     0.093     0.573     0.694     0.707     0.91
3     3     1     10     1     33     F     P     C     V     T     F     P     C     V     T     1.139     1.579     2.329     1.179     0.948
3     3     1     10     3     34     S     F     K     P     X     S     F     P     K     X     1.001     2.101     1.797     1.835     2.272
3     3     1     10     1     35     S     V     F     P     G     S     V     P     P     J     1.604     1.57     2.71     2.773     1.257
3     3     1     10     13     36     D     B     H     M     K     D     B     V     F     J     0.843     2.358     2.878     2.411     1.809
3     3     1     10     11     37     D     C     P     S     G     D     C     P     S     G     2.058     1.405     1.877     1.042     2.32
3     3     1     10     0     38     Z     K     H     F     X     Z     K     F     S     J     0.33     0.683     0.909     2.05     0.015
3     3     1     10     11     39     V     L     T     C     S     V     L     T     C     S     0.948     1.366     2.465     1.206     1.219
3     3     1     10     3     40     H     Z     C     M     D     H     T     G     D     J     2.04     4.298     5.039     2.305     2.32
3     3     1     10     0     41     F     X     C     K     P     F     X     C     K     P     0.173     0.359     0.71     1.098     0.617
3     3     1     10     1     42     H     F     X     S     G     H     F     S     F     X     1.743     1.632     1.11     1.901     1.068
3     3     1     10     13     43     D     V     M     J     L     D     V     M     J     L     1.703     1.756     1.901     1.915     1.378
3     3     1     10     13     44     N     X     H     G     B     N     X     J     V     B     0.711     1.577     2.736     4.087     1.807
3     3     1     10     3     45     X     W     K     P     M     X     W     B     M     J     1.287     2.17     2.197     2.812     2.007
3     3     1     10     11     46     D     R     L     N     V     D     R     L     N     V     1.15     1.057     1.222     1.216     1.539
3     3     1     10     13     47     F     C     N     D     W     F     D     L     C     V     4.008     1.872     1.759     2.692     1.447
3     3     1     10     1     48     C     V     Z     L     P     C     V     L     P     Z     0.162     1.003     1.235     1.502     1.442
3     3     1     10     13     49     Z     F     L     M     W     Z     L     N     V     M     0.848     2.079     1.899     1.875     2.345
3     3     1     10     1     50     N     S     H     G     V     N     S     G     H     V     0.066     1.044     1.247     1.368     1.084
3     3     1     10     1     51     W     J     R     D     F     W     J     R     K     F     1.499     1.341     2.25     2.95     1.029
3     3     1     10     3     52     B     N     W     P     F     B     N     W     P     F     0.522     1.834     1.835     1.772     1.634
3     3     1     10     13     53     Z     K     X     R     G     Z     K     F     K     G     0.454     2.226     2.345     2.062     2.182
3     3     1     10     0     54     D     V     T     C     F     D     V     T     C     F     0.056     0.628     0.613     0.734     0.55
3     3     1     10     1     55     G     B     H     N     L     G     B     H     N     L     1.127     1.218     1.259     1.179     0.881
3     3     1     10     0     56     W     K     V     T     C     W     K     V     T     F     0.929     0.842     0.802     2.227     5.537
3     3     1     10     3     57     T     J     X     Z     C     T     J     K     X     F     0.803     2.145     1.844     2.3     2.882
3     3     1     10     11     58     V     M     X     W     F     V     M     X     G     F     0.549     1.273     1.74     3.403     1.501
