Year,Age,DSPC,CONDITION,ORDER,DISPC,SIMPC,PSEABSPC,PROPPSE,Encoding,Recall,DUMMYC,DUMCXDIS,filter
2,6.7,24.61,3,D-S,10.5,6.66,3.84,.365714285714286,2,2,0,0,0
2,6.72,19.91,3,S-D,7.83,4.5,3.33,.425287356321839,2,2,0,0,0
2,6.72,18.36,3,S-D,8.41,6.25,2.16,.256837098692033,2,2,0,0,0
2,6.8,14.83,3,D-S,8.91,5.66,3.25,.364758698092031,2,2,0,0,0
2,6.64,22.78,3,D-S,9.66,6.25,3.41,.353002070393375,2,2,0,0,0
3,6.9,15.25,3,D-S,15.95,10.25,5.7,.357366771159875,2,2,0,0,0
3,7.16,17.58,3,S-D,12,7.91,4.09,.340833333333333,2,2,0,0,0
3,7.24,14.16,3,S-D,10.7,6.83,3.87,.361682242990654,2,2,0,0,0
3,7.24,11.33,3,D-S,8.66,6.66,2,.23094688221709,2,2,0,0,0
3,6.9,22.36,3,S-D,13.75,8.25,5.5,.4,2,2,0,0,0
3,7.24,26.53,3,S-D,8.83,5.5,3.33,.377123442808607,2,2,0,0,0
3,7.4,24.43,3,D-S,6.83,5.33,1.5,.219619326500732,2,2,0,0,0
4,8,15.25,3,D-S,10.83,8.75,2.08,.192059095106187,2,2,0,0,0
4,8.24,21.11,3,D-S,12.25,7.66,4.59,.37469387755102,2,2,0,0,0
4,8.72,26.28,3,S-D,13.5,8.5,5,.37037037037037,2,2,0,0,0
4,9,25.43,3,S-D,14.03,9.16,4.87,.347113328581611,2,2,0,0,0
4,8.48,20.36,3,D-S,13.91,8.75,5.16,.370956146657081,2,2,0,0,0
4,8.64,28.57,3,S-D,14.61,11.25,3.36,.229979466119096,2,2,0,0,0
4,8.72,26.28,3,S-D,14.78,8.58,6.2,.419485791610284,2,2,0,0,0
1,5.16,16.58,4,S-D,9.91,7.75,2.16,.217961654894046,2,1,1,9.91,0
1,5.56,14.16,4,D-S,10.25,6.83,3.42,.333658536585366,2,1,1,10.25,0
1,5.64,13.66,4,S-D,7.66,4.5,3.16,.412532637075718,2,1,1,7.66,0
1,6,15.03,4,S-D,9.41,7.25,2.16,.229543039319872,2,1,1,9.41,0
1,5.24,16.16,4,D-S,10.16,6.66,3.5,.344488188976378,2,1,1,10.16,0
1,5.64,11.66,4,D-S,8.83,6.33,2.5,.28312570781427,2,1,1,8.83,0
1,5.72,15.41,4,S-D,9.16,6.5,2.66,.290393013100437,2,1,1,9.16,0
2,6.4,17.16,4,D-S,11.41,7.33,4.08,.357581069237511,2,1,1,11.41,0
2,6.48,16.75,4,D-S,7.66,7.33,.33,.0430809399477807,2,1,1,7.66,0
2,6.8,21.03,4,S-D,11.33,8.83,2.5,.220653133274492,2,1,1,11.33,0
2,6.8,20.78,4,D-S,14.78,9.58,5.2,.351826792963464,2,1,1,14.78,0
2,6.24,14.26,4,S-D,12.66,11.33,1.33,.105055292259084,2,1,1,12.66,0
2,6.4,21.33,4,S-D,13.75,9.5,4.25,.309090909090909,2,1,1,13.75,0
2,6.72,15.66,4,D-S,13.11,9.33,3.78,.288329519450801,2,1,1,13.11,0
2,7,11.33,4,D-S,13.7,7,6.7,.489051094890511,2,1,1,13.7,0
3,7.08,19.78,4,D-S,11.16,9.5,1.66,.148745519713262,2,1,1,11.16,0
3,7.32,21.78,4,S-D,14.41,10.33,4.08,.283136710617627,2,1,1,14.41,0
3,7.48,16.83,4,S-D,13.91,9.83,4.08,.293314162473041,2,1,1,13.91,0
3,6.9,16.25,4,D-S,15.5,10.95,4.55,.293548387096774,2,1,1,15.5,0
3,7,12.66,4,D-S,11.41,4.33,7.08,.620508326029798,2,1,1,11.41,0
3,7.24,23.28,4,S-D,15.43,13.25,2.18,.141283214517174,2,1,1,15.43,0
3,7.32,24.12,4,D-S,13.58,10.66,2.92,.215022091310751,2,1,1,13.58,0
4,8,25.43,4,D-S,15.28,9.91,5.37,.351439790575916,2,1,1,15.28,0
4,8.16,24.28,4,S-D,17.78,11.16,6.62,.372328458942632,2,1,1,17.78,0
4,7.8,17.78,4,D-S,16.95,8.41,8.54,.503834808259587,2,1,1,16.95,0
4,8.16,19.28,4,S-D,15.36,10.75,4.61,.300130208333333,2,1,1,15.36,0
4,8.32,22.95,4,S-D,15.12,10.61,4.51,.298280423280423,2,1,1,15.12,0
4,8.48,19.11,4,D-S,14.53,10.03,4.5,.30970406056435,2,1,1,14.53,0
4,8.56,25.12,4,S-D,16.67,10.87,5.8,.347930413917217,2,1,1,16.67,0
