0 2 2   15 1    20   7   6   14   11   13   15 7  0  469  169  1  2  
1 2 0   27 4    19   20   7   10   9   13   27 20  0  386  343  1  2  
2 17 6   8 15    2   16   19   3   19   9   15 10  0  3193  193  1  3  
3 9 0   21 32    12   8   2   8   1   15   32 1  0  356  313  1  3  
4 10 3   34 19    20   10   16   15   14   4   19 4  0  652  152  1  3  
5 16 6   35 18    18   15   7   11   20   17   18 0  0  3204  204  1  3  
6 4 6   25 31    4   13   18   10   14   18   25 18  0  3179  179  0  2  
7 21 6   30 8    1   11   16   19   4   1   4 10  0  3177  177  1  3  
8 6 4   4 2    5   7   9   20   0   19   2 20  0  968  168  1  3  
9 15 2   12 7    18   17   12   9   10   7   7 4  0  449  149  1  2  
10 17 0   32 8    4   3   20   19   0   3   8 14  0  492  449  0  1  
11 12 0   7 29    14   11   9   13   1   6   7 19  0  292  249  1  3  
12 10 2   33 4    7   16   5   8   16   5   4 5  0  460  160  1  3  
13 9 5   10 1    20   17   15   20   17   6   1 17  0  1730  230  1  3  
14 14 6   5 13    0   6   13   1   15   3   5 19  0  3160  160  1  3  
15 19 3   2 20    15   11   20   6   7   5   13 1  0  657  157  1  2  
16 2 3   19 31    15   9   14   13   0   1   19 9  0  663  163  1  3  
17 8 4   15 20    0   8   10   15   2   1   20 2  0  963  163  1  2  
18 16 5   9 6    20   14   5   9   16   13   6 10  0  1675  175  1  3  
19 12 3   32 16    20   6   0   16   18   19   32 9  0  653  153  1  2  
20 7 5   22 7    15   14   0   18   13   10   7 18  0  1709  209  1  3  
21 15 6   27 24    0   17   10   12   14   6   24 17  0  3201  201  1  3  
22 8 5   25 13    12   4   2   20   2   9   13 2  0  1697  197  1  3  
23 4 4   33 15    13   11   7   7   18   9   33 7  0  972  172  1  2  
24 22 0   21 26    13   14   16   8   7   5   6 9  0  374  331  0  1  
25 18 2   6 27    20   10   2   5   20   6   26 7  0  543  243  1  1  
26 20 6   34 11    2   9   12   4   1   9   27 20  0  3187  187  1  3  
27 21 4   19 6    0   15   16   19   13   6   2 15  0  979  179  1  3  
28 2 6   2 16    19   13   14   14   17   7   2 13  0  3199  199  1  2  
29 5 0   30 6    7   4   20   13   12   19   30 20  0  323  280  0  1  
30 20 1   20 22    0   3   4   9   11   6   6 12  0  384  184  1  1  
31 14 5   1 4    3   12   5   11   6   16   1 6  0  1707  207  1  2  
32 3 4   9 33    17   20   14   18   15   3   9 20  0  1005  205  1  3  
33 17 5   1 19    1   20   7   15   20   3   19 7  0  1710  210  1  3  
34 6 5   24 26    2   18   0   15   0   1   26 15  0  1710  210  1  3  
35 10 0   35 14    1   5   9   15   9   6   14 6  0  342  299  1  3  
36 14 4   8 33    20   13   8   0   2   16   8 2  0  989  189  1  3  
37 18 0   31 10    15   7   4   7   2   5   33 2  0  339  296  0  1  
38 23 4   0 33    9   2   1   6   0   2   3 0  0  1001  201  1  3  
39 15 5   3 22    8   20   9   17   3   20   22 6  0  1676  176  1  2  
40 7 2   30 33    17   10   4   15   12   16   33 15  0  529  229  1  2  
41 0 2   0 5    17   5   13   7   9   0   0 17  0  479  179  1  3  
42 21 3   12 1    1   10   17   12   2   11   13 20  0  678  178  1  3  
43 23 3   13 29    4   0   12   8   17   6   12 1  0  655  155  1  3  
44 7 1   12 6    6   4   9   0   14   3   6 0  0  539  339  1  2  
45 0 4   23 16    8   13   16   14   13   4   23 8  0  952  152  1  3  
46 23 6   33 15    19   12   7   1   17   18   24 2  0  3190  190  1  3  
47 18 4   24 12    17   19   2   15   9   11   15 1  0  974  174  1  3  
48 8 0   19 7    8   15   14   1   4   11   7 4  0  370  327  1  3  
49 5 4   34 20    20   5   16   17   3   16   34 16  0  969  169  1  3  
50 10 1   29 18    3   6   1   0   2   16   18 16  0  365  165  1  3  
51 20 2   31 21    0   2   19   8   3   15   18 0  0  472  172  0  1  
52 6 1   0 15    17   12   18   2   5   8   15 2  0  440  240  1  3  
53 16 1   3 12    9   3   6   3   19   17   12 12  0  381  181  1  3  
54 0 0   18 21    18   9   10   19   0   15   18 18  0  325  282  0  1  
55 7 6   31 26    16   7   6   2   19   18   26 2 1  0  0  0  0  
56 19 4   27 1    1   4   0   15   9   12   26 2  0  977  177  1  3  
57 16 3   22 20    20   0   17   6   4   9   20 1  0  676  176  1  1  
58 11 3   25 29    8   4   20   14   16   1   29 1  0  680  180  1  3  
59 13 5   4 11    11   5   20   4   16   15   4 1  0  1679  179  1  3  
60 23 2   26 31    8   4   2   9   5   7   25 8  0  497  197  1  3  
61 21 1   25 13    3   19   9   5   2   18   15 2  0  503  303  1  1  
62 0 3   15 11    5   3   19   17   13   14   15 5  0  658  158  1  3  
63 19 2   20 29    12   20   17   13   18   7   11 17  0  478  178  1  3  
64 1 3   27 33    12   16   13   4   19   10   27 12  0  689  189  1  2  
65 8 6   22 21    4   20   2   12   16   5   21 16  0  3211  211  1  3  
66 13 1   33 0    7   12   19   8   4   1   33 14  0  381  181  1  3  
67 14 1   24 13    9   19   2   19   6   7   24 1  0  383  183  1  3  
68 11 2   19 29    19   2   12   14   18   16   29 16  0  497  197  1  3  
69 6 6   20 13    11   6   14   12   20   0   13 12  0  3228  228  1  3  
70 4 3   12 2    20   19   17   11   6   2   12 17  0  670  170  1  3  
71 9 1   11 26    6   11   3   11   7   18   26 7  0  471  271  1  3  
72 2 4   4 5    13   15   4   11   8   6   4 15  0  965  165  1  3  
73 7 3   22 14    2   0   17   4   20   14   14 4  0  667  167  1  3  
74 11 1   17 35    5   11   18   14   16   9   35 9  0  477  277  1  3  
75 20 4   6 12    12   13   16   9   15   17   35 14  0  956  156  1  2  
76 13 2   23 17    2   5   6   6   18   19   23 12  0  458  158  1  2  
77 1 2   22 19    5   3   17   7   6   0   22 5  0  578  278  1  2  
78 5 6   8 20    2   11   8   20   12   19   8 8  0  3196  196  1  3  
79 15 0   9 13    10   1   19   2   17   8   13 11  0  519  476  1  1  
80 17 4   2 8    10   19   13   8   11   2   8 0  0  961  161  1  3  
81 4 5   0 10    16   17   1   9   15   3   0 1  0  1670  170  1  3  
82 14 0   23 25    18   19   13   1   8   9   23 8  0  411  368  1  3  
83 1 6   9 12    11   5   0   14   18   20   9 11  0  3204  204  1  2  
84 8 1   16 10    6   1   13   8   15   6   10 15  0  427  227  1  3  
85 16 4   3 30    20   5   17   11   12   19   30 1  0  956  156  1  3  
86 4 1   2 21    19   10   20   16   3   13   2 20  0  447  247  0  1  
87 5 3   10 27    14   3   17   16   6   11   10 17  0  675  175  1  2  
88 19 6   20 23    7   8   19   10   15   3   27 6  0  3162  162  1  3  
89 11 6   11 25    10   8   3   0   4   15   25 15  0  3156  156  1  3  
90 19 0   18 23    19   15   6   20   13   14   25 0  0  301  258  1  3  
91 3 5   11 27    11   0   5   7   3   16   11 0  0  1700  200  1  1  
92 20 3   10 22    2   17   14   7   20   1   27 7  0  681  181  1  2  
93 10 6   6 31    15   0   12   20   15   6   31 6  0  3173  173  1  3  
94 13 6   21 23    9   4   1   20   14   0   21 0  0  3182  182  1  3  
95 19 1   12 34    20   6   7   13   20   7   23 14  0  478  278  0  1  
96 12 6   7 20    18   17   2   7   15   16   7 7  0  3181  181  1  3  
97 0 6   17 13    7   9   4   5   19   18   17 7  0  3194  194  1  3  
98 15 4   9 11    4   6   11   7   20   12   11 15  0  967  167  1  3  
99 15 1   33 14    4   1   16   1   20   13   14 18  0  461  261  1  3  
100 22 4   17 34    2   11   4   1   6   13   29 14  0  969  169  1  3  
101 9 2   29 14    17   11   0   0   8   17   14 8  0  472  172  1  3  
102 18 1   6 21    7   19   15   0   12   1   14 8  0  364  164  1  3  
103 14 3   34 2    13   9   18   13   5   3   34 5  0  654  154  1  3  
104 9 6   5 29    15   7   1   17   10   20   29 10  0  3168  168  1  3  
105 1 1   33 34    11   0   13   11   20   1   33 11  0  381  181  0  1  
106 22 6   23 17    19   6   10   4   10   8   22 7  0  3178  178  1  3  
107 21 2   22 5    5   8   7   13   4   1   15 0  0  474  174  1  3  
108 1 4   15 24    7   14   6   7   11   12   15 7  0  961  161  1  3  
109 2 5   3 10    14   11   0   11   7   13   3 11  0  1710  210  1  3  
110 3 2   17 25    17   8   14   8   5   13   17 8  0  457  157  1  3  
