0 20 0   4 21    5   2   6   15   9   6   19 1  0  363  320  1  3  
1 4 4   14 23    1   10   5   10   18   9   14 5  0  951  151  1  3  
2 5 3   2 31    14   0   15   1   18   6   2 15  0  690  190  1  3  
3 13 5   22 13    20   11   15   0   7   9   22 6  0  1714  214  1  3  
4 20 6   24 14    18   0   6   5   12   9   13 0  0  3181  181  1  1  
5 2 5   34 23    3   1   0   5   12   14   34 1  0  1667  167  1  3  
6 8 2   22 17    14   15   19   4   10   15   17 10  0  677  377  1  3  
7 2 0   24 12    12   3   5   5   10   12   24 3  0  586  543  1  3  
8 18 6   27 4    13   15   18   1   14   12   12 5  0  3195  195  1  3  
9 12 5   7 28    14   19   20   0   8   19   7 12  0  1675  175  1  3  
10 10 1   11 35    3   12   7   11   0   13   35 13  0  668  468  1  3  
11 15 1   10 29    15   17   14   9   16   14   29 19  0  626  426  1  3  
12 21 4   12 3    15   5   10   17   19   5   22 14  0  987  187  1  3  
13 12 6   22 1    18   8   15   9   10   2   22 7  0  3236  236  1  2  
14 18 0   13 25    10   1   18   2   11   5   1 10  0  553  510  0  1  
15 7 6   1 15    14   12   19   6   7   18   15 6  0  3173  173  1  3  
16 23 2   7 34    0   20   13   14   5   2   27 13  0  606  306  0  1  
17 16 3   27 8    8   17   10   18   8   17   8 0  0  805  305  1  2  
18 8 0   9 3    1   0   8   2   4   10   3 4  0  392  349  0  1  
19 18 1   34 0    6   11   8   4   14   18   3 2  0  527  327  1  3  
20 1 4   20 16    19   3   6   9   5   14   20 19  0  977  177  1  2  
21 13 1   34 22    10   1   15   13   5   9   34 18  0  492  292  0  1  
22 16 0   30 31    8   20   15   1   0   2   31 17  0  393  350  0  1  
23 6 5   17 7    3   7   4   3   16   8   7 3  0  1657  157  1  3  
24 12 4   11 18    14   10   9   11   10   2   11 0  0  1038  238  0  2  
25 1 0   22 4    8   10   19   15   16   4   22 8  0  352  309  0  3  
26 1 1   10 2    5   8   11   4   20   18   10 5  0  575  375  1  1  
27 12 3   14 1    19   0   11   13   17   8   14 18  0  824  324  1  3  
28 14 1   35 29    9   4   18   0   11   15   35 1  0  495  295  1  2  
29 15 0   7 19    16   6   0   2   10   14   19 3  0  316  273  1  33  
30 9 1   6 4    17   19   5   3   2   15   4 2  0  458  258  1  3  
31 4 3   11 34    20   8   0   10   11   9   11 0  0  739  239  1  2  
32 11 1   27 7    19   18   8   20   8   19   7 19  0  489  289  1  3  
33 23 4   33 24    13   17   7   16   7   19   28 17  0  972  172  1  2  
34 0 6   28 5    15   7   19   15   16   1   28 15  0  3181  181  1  3  
35 13 4   24 23    8   13   15   4   0   17   24 9  0  1107  307  1  2  
36 12 2   16 0    0   10   7   12   10   0   16 1  0  524  224  1  3  
37 13 6   33 17    14   16   12   9   20   13   33 8  0  3177  177  1  2  
38 20 1   27 13    8   9   15   16   9   4   17 9  0  420  220  1  3  
39 4 0   9 26    5   20   11   14   1   12   9 11  0  476  433  0  3  
40 8 4   34 2    16   6   9   4   7   8   2 7  0  956  156  1  3  
41 9 4   5 3    10   9   12   7   8   1   3 8  0  958  158  1  3  
42 8 5   16 28    7   11   12   2   3   16   28 3  0  1656  156  1  3  
43 15 2   31 24    17   20   1   13   9   0   24 2  0  567  267  1  3  
44 18 3   30 2    18   5   16   13   15   11   24 13  0  701  201  1  3  
45 17 3   20 31    20   8   17   11   15   7   31 3 1  0  0  0  0  
46 2 1   25 13    2   0   7   5   2   10   25 0  0  616  416  0  2  
47 11 5   35 27    12   0   14   16   20   18   27 18  0  1694  194  1  3  
48 3 5   8 29    11   9   1   8   9   15   8 9  0  1675  175  1  3  
49 5 5   20 10    16   1   6   0   19   5   20 6  0  1667  167  1  3  
50 23 5   19 31    17   7   18   9   18   8   20 16  0  1678  178  1  3  
51 16 6   20 14    15   7   9   0   2   9   14 4  0  3213  213  1  3  
52 18 2   26 33    10   6   18   2   17   16   14 0  0  876  576  1  3  
53 17 0   30 1    18   4   15   15   0   2   1 6  0  470  427  0  1  
54 23 0   18 26    15   18   17   12   5   7   6 19  0  401  358  1  3  
55 7 3   6 12    16   6   17   3   11   14   12 3  0  689  189  1  3  
56 22 1   15 17    7   15   17   7   3   6   5 13  0  378  178  1  3  
57 15 5   5 13    2   11   18   4   10   12   13 15  0  1672  172  1  3  
58 2 2   18 17    0   19   11   15   1   16   18 19  0  601  301  1  3  
59 5 6   29 24    2   15   13   14   3   11   29 13  0  3187  187  1  3  
60 5 4   18 19    1   3   6   8   7   15   18 6  0  977  177  1  3  
61 5 0   7 6    18   2   0   13   8   16   7 0  0  280  237  0  1  
62 1 3   4 22    5   0   9   19   17   12   4 5  0  819  319  0  3  
63 17 5   20 28    2   17   6   18   13   3   28 2  0  1663  163  1  3  
64 15 6   6 4    5   4   3   17   7   14   4 0  0  3194  194  1  2  
65 21 5   35 2    14   8   11   2   0   10   18 1  0  1693  193  1  3  
66 15 3   18 23    0   7   19   0   19   16   23 2  0  707  207  1  3  
67 4 6   30 17    20   6   5   17   4   6   30 5  0  3188  188  1  3  
68 3 0   8 18    0   19   4   1   16   0   8 19  0  381  338  1  3  
69 9 0   1 19    2   15   0   17   4   9   19 4  0  283  240  0  1  
70 10 0   14 4    6   12   8   8   14   3   4 3  0  427  384  1  3  
71 17 2   21 28    4   5   1   1   17   4   28 5  0  456  156  0  1  
72 6 1   6 35    10   4   0   12   16   13   35 12  0  333  133  0  1  
73 22 0   7 18    2   11   13   10   16   5   26 12  0  361  318  0  1  
74 0 5   26 6    17   16   18   5   7   9   26 17 1  0  0  0  0  
75 2 6   20 9    12   10   17   19   8   12   20 10  0  3185  185  0  3  
76 16 2   10 15    13   17   8   20   9   13   15 0  0  475  175  1  3  
77 0 4   26 13    1   11   10   2   9   8   26 1  0  977  177  1  2  
78 18 5   29 1    4   11   2   15   7   13   13 9  0  1687  187  1  3  
79 5 2   23 15    13   10   2   2   20   17   23 2  0  603  303  1  3  
80 7 1   6 14    17   16   19   19   10   16   14 19  0  706  506  1  3  
81 17 4   4 8    3   17   6   14   8   5   8 15  0  961  161  1  3  
82 4 1   23 35    4   8   6   3   2   15   23 6  0  445  245  0  1  
83 9 6   1 24    6   9   1   4   1   15   24 1  0  3193  193  0  2  
84 19 4   5 30    20   4   16   3   9   1   24 4  0  969  169  1  3  
85 20 5   29 18    11   8   4   8   6   18   30 3  0  1679  179  1  2  
86 22 2   6 35    14   5   20   2   7   12   23 4  0  696  396  1  3  
87 15 4   23 5    6   16   18   13   11   3   5 0  0  957  157  1  3  
88 10 6   29 4    8   3   13   16   6   1   4 1  0  3183  183  1  3  
89 8 3   12 35    18   10   5   0   7   2   35 7  0  787  287  0  3  
90 19 5   2 27    10   8   19   3   6   20   35 7  0  1667  167  1  3  
91 7 4   13 25    18   3   15   20   10   3   25 20  0  962  162  1  3  
92 23 1   30 23    0   18   6   19   6   14   33 10  0  519  319  0  1  
93 22 5   33 26    12   20   4   17   1   5   11 10  0  1695  195  1  3  
94 3 1   11 9    10   16   9   6   19   18   11 16  0  707  507  1  1  
95 8 6   34 20    0   5   1   14   8   9   20 8  0  3196  196  1  3  
96 14 0   10 25    15   17   10   8   3   12   10 9  0  349  306  1  3  
97 14 2   6 11    5   16   1   18   10   5   6 9  0  638  338  1  3  
98 6 6   28 26    0   16   6   13   9   12   26 13  0  3172  172  1  3  
99 21 1   14 18    13   0   7   14   4   8   25 8  0  443  243  1  3  
100 4 2   25 6    11   13   15   17   10   0   25 15  0  618  318  1  1  
101 21 6   21 13    14   16   17   17   1   5   8 14  0  3210  210  1  3  
102 10 3   8 0    12   9   6   8   5   3   0 3  0  668  168  1  3  
103 7 5   26 7    3   14   5   7   0   16   7 7  0  1677  177  0  2  
104 21 3   4 21    16   10   6   13   20   10   9 6  0  643  143  1  3  
105 16 5   9 28    15   10   4   2   4   1   28 18  0  1689  189  1  3  
106 19 6   1 20    6   12   5   19   6   10   28 2 1  0  0  0  0  
107 11 2   5 19    2   12   10   15   10   6   19 6  0  699  399  1  3  
108 13 3   23 12    1   8   6   15   12   0   23 15  0  661  161  1  3  
109 20 4   6 22    0   19   16   19   11   5   12 15  0  1071  271  0  1  
110 11 6   24 5    7   6   5   13   3   15   5 15  0  3213  213  1  2  
111 3 3   25 29    13   17   16   13   2   11   25 17  0  732  232  0  2  
112 12 0   18 3    10   20   16   4   3   15   18 19  0  450  407  0  1  
113 9 2   4 15    10   13   16   11   7   2   15 7  0  646  346  0  3  
114 14 4   21 26    20   0   8   5   11   17   21 19  0  949  149  1  3  
115 0 3   7 14    17   14   8   1   19   13   7 17  0  749  249  1  2  
116 0 2   19 17    3   1   9   5   1   3   19 3  0  697  397  1  3  
117 21 0   27 22    7   17   3   8   0   3   24 13  0  403  360  0  1  
118 1 6   24 19    4   13   16   13   8   9   24 4  0  3155  155  0  2  
119 17 6   22 8    20   11   1   19   7   14   8 1  0  3200  200  1  2  
120 7 2   10 2    7   20   4   11   18   5   2 11  0  582  282  1  3  
121 14 3   15 3    2   8   18   1   5   17   15 15  0  686  186  1  3  
122 14 6   28 6    13   9   20   5   1   12   28 19  0  3202  202  1  3  
123 23 6   35 8    3   0   17   17   20   0   29 13  0  3190  190  1  3  
124 1 2   29 14    1   13   19   7   12   1   29 1  0  723  423  1  1  
125 11 3   21 28    9   3   12   14   18   16   28 16  0  666  166  1  3  
126 10 4   22 10    16   20   12   11   0   4   10 4 1  0  0  0  0  
127 19 2   29 21    2   8   9   12   10   15   10 0  0  515  215  1  3  
128 6 0   23 7    20   6   16   20   1   5   7 20  0  466  423  1  3  
129 10 2   9 22    0   19   13   8   18   5   22 5  0  522  222  1  3  
130 10 5   3 5    3   10   6   20   9   0   5 0 1  0  0  0  0  
131 22 3   35 13    12   19   8   13   16   4   8 17  0  677  177  1  2  
132 18 4   8 4    10   11   4   11   20   7   13 13  0  999  199  1  2  
133 4 5   19 31    11   6   13   9   15   8   19 13  0  1714  214  1  3  
134 13 2   26 4    20   8   9   2   9   5   26 6  0  773  473  0  1  
