0 18 3   26 0    0   10   3   2   20   5   19 1  0  688  188  1  3  
1 16 0   20 25    9   5   10   8   20   5   25 9  0  495  452  1  3  
2 2 0   4 26    10   0   12   15   17   11   4 0  0  286  243  1  1  
3 1 5   14 34    9   14   13   15   20   17   14 9  0  1666  166  1  3  
4 12 1   8 19    14   13   0   12   11   19   8 12  0  424  224  1  3  
5 22 3   5 24    17   1   20   2   7   8   13 0  0  689  189  1  3  
6 22 1   13 10    5   9   18   2   4   16   2 0  0  408  208  1  3  
7 23 4   2 3    14   19   4   17   4   16   11 0 1  0  0  0  0  
8 13 5   11 26    15   0   20   5   10   9   11 13  0  1697  197  1  3  
9 18 5   32 17    15   7   20   12   10   4   26 5  0  1676  176  1  3  
10 7 4   13 28    14   1   7   19   7   8   28 19  0  957  157  1  3  
11 16 1   32 5    2   12   13   4   9   6   5 1  0  378  178  1  3  
12 14 3   26 8    2   3   1   13   18   3   26 6  0  651  151  1  3  
13 17 4   18 20    2   13   4   4   15   19   20 18  0  958  158  1  3  
14 17 1   35 26    0   16   8   9   11   3   26 18  0  381  181  1  3  
15 1 2   11 15    4   12   9   15   3   14   11 4  0  510  210  1  3  
16 8 4   0 9    11   15   3   13   8   12   9 8 1  0  0  0  0  
17 22 4   15 4    20   12   16   7   9   8   34 15  0  992  192  1  3  
18 4 0   34 2    14   18   6   19   14   8   34 6  0  478  435  0  3  
19 3 0   17 26    1   0   5   7   19   11   17 0  0  360  317  0  1  
20 0 0   2 0    9   19   5   2   16   12   2 9  0  343  300  0  3  
21 0 2   6 9    10   20   7   12   2   9   6 10  0  471  171  0  1  
22 2 6   23 32    6   0   15   6   19   9   23 0  0  3201  201  1  3  
23 1 3   10 31    6   3   17   20   5   18   10 6  0  704  204  1  3  
24 20 0   3 17    4   5   2   16   10   7   31 5  0  355  312  0  1  
25 23 0   35 29    6   19   16   6   14   4   0 2  0  316  273  1  3  
26 19 4   0 31    7   12   5   1   10   15   29 14  0  974  174  0  3  
27 10 1   33 7    17   16   2   18   9   8   7 8  0  489  289  1  3  
28 3 6   6 15    19   16   3   10   11   12   6 16  0  3208  208  1  3  
29 23 2   4 23    9   15   17   6   8   19   31 1  0  497  197  1  3  
30 1 4   31 3    2   8   4   3   12   5   31 2  0  955  155  1  3  
31 17 5   23 10    7   17   16   8   18   20   10 6  0  1679  179  1  3  
32 13 0   18 28    9   14   16   2   6   20   18 19  0  298  255  1  3  
33 14 0   8 21    14   6   3   20   8   10   8 5  0  373  330  1  3  
34 16 4   5 27    6   12   16   17   20   2   27 7  0  964  164  0  1  
35 9 1   8 14    8   16   13   9   11   15   14 11  0  405  205  0  1  
36 21 3   25 20    6   10   18   4   8   10   28 2  0  665  165  0  3  
37 11 5   28 35    17   10   12   20   13   9   35 9  0  1666  166  1  3  
38 20 5   18 7    18   16   13   17   18   20   35 20  0  1672  172  1  3  
