sub dur iti acc rt correct resp ss ptrl
10 990 long 1 2103 s s 3 cor
10 11990 short 0 2679 s d 3 cor
10 5990 short 1 1429 s s 3 inc
10 5990 medium 0 456 s d 3 cor
10 5990 long 1 962 s s 3 inc
10 990 long 0 815 d s 3 cor
10 990 medium 0 1014 d s 3 inc
10 990 short 0 1054 s d 3 inc
10 11990 short 0 772 d s 3 inc
10 990 medium 0 838 s d 3 inc
10 5990 long 1 940 d d 3 inc
10 5990 medium 1 882 d d 3 cor
10 11990 medium 0 1279 d s 3 cor
10 5990 short 0 860 s d 3 inc
10 11990 short 1 1084 d d 3 inc
10 5990 long 0 884 d s 3 cor
10 11990 short 1 1633 s s 3 cor
10 990 long 1 1137 s s 3 cor
10 5990 long 0 1813 s d 3 cor
10 5990 medium 1 1309 d d 3 inc
10 5990 short 1 992 d d 3 cor
10 11990 medium 1 1109 s s 3 cor
10 11990 short 1 2136 d d 3 cor
10 11990 long 1 1317 d d 3 cor
10 5990 long 1 1136 d d 3 cor
10 990 short 0 862 s d 3 cor
10 990 medium 1 2575 s s 3 inc
10 5990 short 1 787 d d 3 cor
10 990 short 1 2946 d d 3 cor
10 5990 short 1 701 s s 3 cor
10 5990 medium 1 1254 s s 3 cor
10 11990 medium 1 914 d d 3 cor
10 11990 short 0 1222 s d 3 cor
10 990 long 1 2042 s s 3 inc
10 990 medium 0 713 d s 3 cor
10 11990 medium 1 1013 s s 3 inc
10 5990 short 0 2017 s d 3 cor
10 990 medium 1 896 s s 3 inc
10 5990 medium 1 1519 d d 3 cor
10 11990 short 0 771 d s 3 cor
10 990 medium 1 340 d d 3 inc
10 11990 long 0 782 d s 3 cor
10 990 long 1 681 d d 3 inc
10 5990 long 0 412 s d 3 cor
10 990 short 0 780 d s 3 inc
10 11990 long 1 1688 s s 3 inc
10 11990 medium 1 1808 d d 3 cor
10 5990 long 1 1926 d d 3 cor
10 990 long 1 1049 d d 3 cor
10 11990 long 1 1945 s s 3 cor
10 11990 medium 1 2864 d d 3 cor
10 11990 medium 1 569 d d 3 cor
10 990 medium 1 841 s s 3 cor
10 990 medium 0 680 d s 3 cor
10 5990 medium 0 1915 s d 3 inc
10 11990 long 0 2366 d s 3 inc
10 11990 long 0 2163 s d 3 inc
10 5990 long 0 1441 s d 3 cor
10 11990 long 1 965 d d 3 inc
10 5990 long 0 905 d s 3 cor
10 5990 medium 1 567 s s 3 inc
10 11990 medium 1 346 s s 3 cor
10 5990 short 0 735 s d 3 cor
10 11990 short 1 1209 s s 3 inc
10 11990 short 1 662 d d 3 cor
10 11990 medium 0 836 s d 3 cor
10 5990 long 1 951 d d 3 inc
10 5990 short 0 773 s d 3 inc
10 990 long 1 1405 d d 3 inc
10 990 short 0 2528 d s 3 cor
10 11990 short 0 903 s d 3 cor
10 5990 short 0 906 d s 3 inc
10 990 short 1 592 d d 3 inc
10 5990 medium 1 2564 d d 3 cor
10 5990 long 1 885 s s 3 cor
10 5990 short 1 655 d d 3 cor
10 990 short 0 2623 s d 3 cor
10 5990 long 0 664 d s 3 inc
10 5990 short 1 1113 s s 3 inc
10 990 medium 1 1992 s s 3 cor
10 5990 long 0 1005 s d 3 cor
10 990 medium 1 825 s s 3 inc
10 990 short 1 758 s s 3 cor
10 990 long 1 755 s s 3 cor
10 5990 medium 1 1269 s s 3 cor
10 11990 medium 1 1730 d d 3 cor
10 5990 medium 0 1878 s d 3 cor
10 990 medium 0 696 d s 3 inc
10 11990 long 0 663 d s 3 inc
