    6     20      1      2      2    190      1      3      1      1      1     1.669     0.541     0.464      1      1      1    999    999    999  
    6     20      1      3      1     14      2      3      1      1      1     1.089     0.474     0.328      1      1      1    999    999    999  
    6     21      1      1      1      1      2      1      1      1      1     1.592     0.720     0.904      1      1      1    999    999    999  
    6     21      1      2      2    105      1      1      1      1      0     1.692     0.464     0.880      1      1      0    999    999    999  
    6     21      1      3      2    145      3      1      1      1      1     1.200     0.520     0.940      1      1      1    999    999    999  
    6     22      1      1      2    185      1      3      0      0      1     6.843     5.296     1.168      0      1      1    999      1    999  
    6     22      1      2      2    157      3      3      1      1      1     1.016     0.523     0.909      1      1      1    999    999    999  
    6     22      1      3      1     27      2      3      1      1      1     2.024     0.856     0.558      1      1      1    999    999    999  
    6     23      1      1      2    149      3      3      1      0      0     3.977     0.544     0.423      1      0      0    999    999    999  
    6     23      1      2      2    174      1      3      1      0      1     3.803     0.466     2.986      1      0      1    999    999    999  
    6     23      1      3      1     16      2      3      0      1      1     1.311     1.048     0.399      0      1      1    999    999    999  
    6     24      1      1      2    161      2      2      1      0      0     6.155     0.376     2.163      1      0      0    999    999    999  
    6     24      1      2      1     28      1      2      1      1      1     2.593     0.514     0.364      1      1      1    999    999    999  
    6     24      1      3      2    116      3      2      1      1      1     1.261     0.392     0.848      1      1      1    999    999    999  
    6     25      1      1      2    186      2      3      1      0      1     1.220     0.335     0.464      1      0      1    999    999    999  
    6     25      1      2      2    133      3      3      0      0      1     3.072     0.392     0.840      0      0      1    999    999    999  
    6     25      1      3      1      6      1      3      1      1      1     1.867     0.504     0.669      1      1      1    999    999    999  
    6     26      1      1      2    179      2      3      1      0      0     1.256     3.696     0.352      1      1      1    999     -1      1  
    6     26      1      2      2    176      1      3      0      1      1     2.108     0.784     0.488      0      1      1    999    999    999  
    6     26      1      3      1      1      3      3      0      1      1     2.214     1.728     0.331      0      1      1    999    999    999  
    6     27      0      1      2    154      3      4      1      1      0     2.096     0.461     0.840      1      1      0    999    999    999  
    6     27      0      2      2    178      1      4      1      1      1     1.889     0.440     0.790      1      1      1    999    999    999  
    6     27      0      3      2    164      2      4      0      0      1     1.019     0.389     0.427      0      0      1    999    999    999  
    6     28      0      1      2    183      3      4      1      1      1     8.600     0.520     0.952      1      1      1    999    999    999  
    6     28      0      2      2    138      2      4      1      1      1     1.264     0.640     0.512      1      1      1    999    999    999  
    6     28      0      3      2    130      1      4      0      1      1     2.008     0.632     0.736      0      1      1    999    999    999  
    6     29      1      1      2    165      1      3      1      1      0     2.030     0.488     0.720      1      1      0    999    999    999  
    6     29      1      2      2    135      3      3      1      0      0     2.941     2.348     0.544      1      1      1    999     -1      1  
    6     29      1      3      1     16      2      3      1      1      1     1.456     0.577     0.503      1      1      1    999    999    999  
    6     30      1      1      1     24      1      1      1      1      1     1.996     0.496     0.436      1      1      1    999    999    999  
    6     30      1      2      2    150      2      1      1      1      1     1.124     0.366     0.463      1      1      1    999    999    999  
    6     30      1      3      2    118      3      1      1      0      1     2.512     0.416     0.808      1      0      1    999    999    999  
    6     31      1      1      2    107      2      2      1      0      1     1.035     0.416     0.368      1      0      1    999    999    999  
    6     31      1      2      1     29      1      2      1      1      1     2.199     0.663     0.413      1      1      1    999    999    999  
    6     31      1      3      2    104      3      2      0      1      0     1.632     0.381     0.280      0      1      1    999    999      2  
    6     32      0      1      2    162      2      4      1      0      1     1.011     0.536     0.349      1      0      1    999    999    999  
    6     32      0      2      2    110      3      4      1      1      0     1.107     0.502     0.305      1      1      0    999    999    999  
    6     32      0      3      2    160      1      4      1      1      1     1.975     0.736     0.341      1      1      1    999    999    999  
    6     33      1      1      2    180      1      2      1      1      0     1.764     0.288     0.282      1      1      0    999    999    999  
