1 0 1 6000 5993 4 0  5 4 0 8736 
1 0 2 2108 2107 2 0  2 4 0 1530 
1 0 3 1820 1820 1 100  6 6 1 1152 
1 0 4 2792 2790 3 100  6 6 1 1143 
1 0 5 2792 2790 2 100  5 5 1 1000 
1 0 6 1352 1353 1 100  4 4 1 965 
1 0 7 2108 2107 3 100  9 9 1 984 
1 0 8 2432 2431 2 100  9 9 1 728 
1 0 9 1028 1029 1 100  4 4 1 896 
1 0 10 2108 2107 3 100  3 3 1 1307 
1 0 11 2108 2107 2 100  9 9 1 686 
1 0 12 776 777 1 0  6 4 0 2373 
1 0 13 2108 2107 3 100  8 8 1 845 
1 0 14 6000 5993 4 100  8 8 1 426 
1 0 15 1820 1820 2 100  6 6 1 1048 
1 0 16 884 885 1 0  8 7 0 1652 
1 0 17 3692 3689 3 100  2 2 1 795 
1 0 18 1568 1568 2 100  9 9 1 994 
1 0 19 1028 1029 1 0  3 4 0 1063 
1 0 20 2432 2431 3 0  4 5 0 2265 
1 0 21 1352 1353 2 100  7 7 1 979 
1 0 22 1172 1173 1 0  6 4 0 3619 
1 0 23 1568 1568 3 100  4 4 1 791 
1 0 24 1172 1173 2 100  4 4 1 766 
1 0 25 1352 1353 1 100  5 5 1 786 
1 0 26 1352 1353 3 100  4 4 1 781 
1 0 27 6000 5993 4 100  4 4 1 873 
1 0 28 1028 1029 2 100  4 4 1 627 
1 0 29 1028 1029 1 100  4 4 1 608 
1 0 30 1172 1173 3 100  4 4 1 767 
1 0 31 884 885 2 100  2 2 1 1561 
1 0 32 776 777 1 100  5 5 1 1970 
1 0 33 1028 1029 3 100  4 4 1 628 
1 0 34 776 777 2 100  8 8 1 1005 
1 0 35 596 598 1 0  7 4 0 1511 
1 0 36 1028 1029 3 100  4 4 1 893 
1 0 37 668 670 2 0  1 5 0 1335 
1 0 38 668 670 1 0  5 4 0 2011 
1 0 39 776 778 3 0  8 3 0 2676 
1 0 40 6000 5993 4 100  5 5 1 473 
1 0 41 884 885 2 0  2 5 0 2326 
1 0 42 776 777 1 100  4 4 1 588 
1 0 43 1028 1029 3 100  6 6 1 2881 
1 0 44 1172 1173 2 100  5 5 1 713 
1 0 45 596 598 1 0  9 5 0 4026 
1 0 46 2432 2431 3 100  6 6 1 928 
1 0 47 1028 1029 2 0  4 5 0 1888 
1 0 48 668 670 1 0  6 4 0 2094 
1 0 49 1568 1568 3 100  1 1 1 909 
1 0 50 1352 1353 2 100  5 5 1 726 
1 0 51 776 778 1 100  2 2 1 1184 
1 0 52 2432 2431 3 100  4 4 1 707 
1 0 53 6000 5993 4 100  5 5 1 252 
1 0 54 1172 1173 2 100  8 8 1 763 
1 0 55 596 598 1 0  3 5 0 1563 
1 0 56 2432 2431 3 100  8 8 1 650 
1 0 57 1028 1029 2 100  8 8 1 767 
1 0 58 668 670 1 0  8 9 0 918 
1 0 59 1568 1568 3 100  1 1 1 856 
