"TaskType" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "writtenSP" "outputorder" "TaskTypeKnow"
"Known" 1 1 19 19 12 5 "errand" -1 -1 1
"Known" 1 1 19 19 12 6 "jealous" -1 -1 1
"Known" 1 1 19 19 12 7 "aside" -1 -1 1
"Known" 1 1 19 19 12 8 "ever" -1 -1 1
"Known" 1 1 19 19 12 9 "virtue" -1 -1 1
"Known" 1 1 19 19 12 10 "ashamed" -1 -1 1
"Known" 1 1 19 19 12 11 "chapel" 11 2 1
"Known" 1 1 19 19 12 12 "parent" 12 3 1
"Known" 1 1 20 20 12 1 "serve" 1 1 1
"Known" 1 1 20 20 12 2 "master" 2 2 1
"Known" 1 1 20 20 12 3 "prefer" 3 3 1
"Known" 1 1 20 20 12 4 "confuse" -1 -1 1
"Known" 1 1 20 20 12 5 "upon" -1 -1 1
"Known" 1 1 20 20 12 6 "yonder" -1 -1 1
"Known" 1 1 20 20 12 7 "honest" -1 -1 1
"Known" 1 1 20 20 12 8 "stomach" -1 -1 1
"Known" 1 1 20 20 12 9 "surely" -1 -1 1
"Known" 1 1 20 20 12 10 "moisture" -1 -1 1
"Known" 1 1 20 20 12 11 "decay" -1 -1 1
"Known" 1 1 20 20 12 12 "distress" 12 4 1
"Known" 1 1 21 21 12 1 "over" -1 -1 1
"Known" 1 1 21 21 12 2 "corner" -1 -1 1
"Known" 1 1 21 21 12 3 "welfare" -1 -1 1
"Known" 1 1 21 21 12 4 "often" -1 -1 1
"Known" 1 1 21 21 12 5 "pretty" -1 -1 1
"Known" 1 1 21 21 12 6 "shortly" -1 -1 1
"Known" 1 1 21 21 12 7 "fortune" -1 -1 1
"Known" 1 1 21 21 12 8 "banner" 5 1 1
"Known" 1 1 21 21 12 9 "concert" 6 2 1
"Known" 1 1 21 21 12 10 "fever" -1 -1 1
"Known" 1 1 21 21 12 11 "possess" -1 -1 1
"Known" 1 1 21 21 12 12 "bullet" -1 -1 1
"Known" 1 1 22 22 12 1 "impose" -1 -1 1
"Known" 1 1 22 22 12 2 "saddle" -1 -1 1
"Known" 1 1 22 22 12 3 "sober" 3 1 1
