"Knownlength" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "outputorder" "LengthKnow"
"Known" 1 2 2 26 5 3 "fortune" -1 1
"Known" 1 2 2 26 5 4 "ocean" 2 1
"Known" 1 2 2 26 5 5 "hardly" 4 1
"Known" 1 2 3 27 5 1 "bitter" 1 1
"Known" 1 2 3 27 5 2 "parlor" 2 1
"Known" 1 2 3 27 5 3 "below" -1 1
"Known" 1 2 3 27 5 4 "dissolve" 3 1
"Known" 1 2 3 27 5 5 "endless" 4 1
"Known" 1 2 4 28 5 1 "affair" -1 1
"Known" 1 2 4 28 5 2 "dinner" 3 1
"Known" 1 2 4 28 5 3 "include" 4 1
"Known" 1 2 4 28 5 4 "finger" 1 1
"Known" 1 2 4 28 5 5 "easy" 2 1
"Known" 1 2 5 29 5 1 "remain" 1 1
"Known" 1 2 5 29 5 2 "reveal" -1 1
"Known" 1 2 5 29 5 3 "notion" -1 1
"Known" 1 2 5 29 5 4 "wooden" 2 1
"Known" 1 2 5 29 5 5 "hasten" 3 1
"Known" 1 2 6 30 5 1 "assist" 1 1
"Known" 1 2 6 30 5 2 "equip" -1 1
"Known" 1 2 6 30 5 3 "color" 2 1
"Known" 1 2 6 30 5 4 "bureau" 3 1
"Known" 1 2 6 30 5 5 "helmet" -1 1
"Known" 1 2 7 31 5 1 "reckon" -1 1
"Known" 1 2 7 31 5 2 "single" 1 1
"Known" 1 2 7 31 5 3 "closely" 3 1
"Known" 1 2 7 31 5 4 "able" 2 1
"Known" 1 2 7 31 5 5 "rifle" 4 1
"Known" 1 2 8 32 5 1 "supply" 1 1
"Known" 1 2 8 32 5 2 "pattern" -1 1
"Known" 1 2 8 32 5 3 "sheriff" 2 1
"Known" 1 2 8 32 5 4 "lucky" 3 1
"Known" 1 2 8 32 5 5 "number" 4 1
"Known" 1 2 9 33 12 1 "poem" 8 1
"Known" 1 2 9 33 12 2 "blanket" -1 1
"Known" 1 2 9 33 12 3 "mercy" -1 1
"Known" 1 2 9 33 12 4 "ugly" 3 1
"Known" 1 2 9 33 12 5 "apply" -1 1
"Known" 1 2 9 33 12 6 "bedroom" 5 1
"Known" 1 2 9 33 12 7 "marriage" 4 1
"Known" 1 2 9 33 12 8 "banner" -1 1
"Known" 1 2 9 33 12 9 "control" 6 1
"Known" 1 2 9 33 12 10 "cannon" 7 1
"Known" 1 2 9 33 12 11 "canoe" 1 1
"Known" 1 2 9 33 12 12 "humble" 2 1
"Known" 1 2 10 34 12 1 "island" -1 1
"Known" 1 2 10 34 12 2 "illness" -1 1
"Known" 1 2 10 34 12 3 "honest" 6 1
"Known" 1 2 10 34 12 4 "invent" 8 1
"Known" 1 2 10 34 12 5 "several" 5 1
"Known" 1 2 10 34 12 6 "science" 7 1
"Known" 1 2 10 34 12 7 "apple" -1 1
"Known" 1 2 10 34 12 8 "dismay" 2 1
"Known" 1 2 10 34 12 9 "settle" -1 1
"Known" 1 2 10 34 12 10 "elect" 4 1
"Known" 1 2 10 34 12 11 "author" 1 1
"Known" 1 2 10 34 12 12 "wanting" 3 1
"Known" 1 2 11 35 12 1 "canvas" -1 1
"Known" 1 2 11 35 12 2 "beaver" -1 1
"Known" 1 2 11 35 12 3 "disturb" -1 1
"Known" 1 2 11 35 12 4 "manage" -1 1
"Known" 1 2 11 35 12 5 "private" -1 1
"Known" 1 2 11 35 12 6 "attend" -1 1
"Known" 1 2 11 35 12 7 "resolve" -1 1
"Known" 1 2 11 35 12 8 "building" -1 1
"Known" 1 2 11 35 12 9 "vessel" -1 1
"Known" 1 2 11 35 12 10 "harvest" 3 1
"Known" 1 2 11 35 12 11 "excess" 2 1
"Known" 1 2 11 35 12 12 "middle" 1 1
"Known" 1 2 12 36 12 1 "proclaim" 5 1
"Known" 1 2 12 36 12 2 "stumble" -1 1
"Known" 1 2 12 36 12 3 "inside" -1 1
"Known" 1 2 12 36 12 4 "letter" 8 1
"Known" 1 2 12 36 12 5 "consume" -1 1
"Known" 1 2 12 36 12 6 "upper" -1 1
"Known" 1 2 12 36 12 7 "project" -1 1
"Known" 1 2 12 36 12 8 "soldier" 7 1
"Known" 1 2 12 36 12 9 "lady" 1 1
"Known" 1 2 12 36 12 10 "cluster" 4 1
"Known" 1 2 12 36 12 11 "chimney" 3 1
"Known" 1 2 12 36 12 12 "connect" 2 1
"Known" 1 2 13 37 12 1 "golden" 1 1
"Known" 1 2 13 37 12 2 "funeral" 2 1
"Known" 1 2 13 37 12 3 "flavor" -1 1
"Known" 1 2 13 37 12 4 "decay" -1 1
"Known" 1 2 13 37 12 5 "express" -1 1
"Known" 1 2 13 37 12 6 "truly" -1 1
"Known" 1 2 13 37 12 7 "rejoice" -1 1
"Known" 1 2 13 37 12 8 "business" -1 1
"Known" 1 2 13 37 12 9 "travel" -1 1
"Known" 1 2 13 37 12 10 "device" 3 1
"Known" 1 2 13 37 12 11 "direct" 5 1
"Known" 1 2 13 37 12 12 "bottom" 4 1
"Known" 1 2 14 38 12 1 "amid" -1 1
"Known" 1 2 14 38 12 2 "recall" -1 1
"Known" 1 2 14 38 12 3 "protest" -1 1
"Known" 1 2 14 38 12 4 "passion" -1 1
"Known" 1 2 14 38 12 5 "patient" 5 1
"Known" 1 2 14 38 12 6 "lawyer" 6 1
"Known" 1 2 14 38 12 7 "doorway" -1 1
"Known" 1 2 14 38 12 8 "proceed" 4 1
"Known" 1 2 14 38 12 9 "struggle" 3 1
"Known" 1 2 14 38 12 10 "little" -1 1
"Known" 1 2 14 38 12 11 "firmly" 2 1
"Known" 1 2 14 38 12 12 "famous" 1 1
"Known" 1 2 15 39 12 1 "subject" -1 1
"Known" 1 2 15 39 12 2 "remote" -1 1
"Known" 1 2 15 39 12 3 "husband" 3 1
"Known" 1 2 15 39 12 4 "weakness" -1 1
"Known" 1 2 15 39 12 5 "likely" -1 1
"Known" 1 2 15 39 12 6 "rapid" 4 1
"Known" 1 2 15 39 12 7 "engine" -1 1
"Known" 1 2 15 39 12 8 "useful" -1 1
"Known" 1 2 15 39 12 9 "instead" -1 1
"Known" 1 2 15 39 12 10 "saddle" -1 1
"Known" 1 2 15 39 12 11 "perhaps" 2 1
"Known" 1 2 15 39 12 12 "traitor" 1 1
"Known" 1 2 16 40 12 1 "loyal" 5 1
"Known" 1 2 16 40 12 2 "purchase" -1 1
"Known" 1 2 16 40 12 3 "declare" -1 1
"Known" 1 2 16 40 12 4 "justice" -1 1
"Known" 1 2 16 40 12 5 "quiver" -1 1
"Known" 1 2 16 40 12 6 "idle" -1 1
"Known" 1 2 16 40 12 7 "pony" -1 1
"Known" 1 2 16 40 12 8 "dislike" 4 1
"Known" 1 2 16 40 12 9 "patience" 3 1
"Known" 1 2 16 40 12 10 "clearly" 2 1
"Known" 1 2 16 40 12 11 "speaker" -1 1
"Known" 1 2 16 40 12 12 "creature" 1 1
"Known" 1 2 17 41 8 1 "foreign" 5 1
"Known" 1 2 17 41 8 2 "inform" -1 1
"Known" 1 2 17 41 8 3 "admit" 2 1
"Known" 1 2 17 41 8 4 "ideal" -1 1
"Known" 1 2 17 41 8 5 "publish" -1 1
"Known" 1 2 17 41 8 6 "handsome" 1 1
"Known" 1 2 17 41 8 7 "singer" 4 1
"Known" 1 2 17 41 8 8 "lying" 3 1
"Known" 1 2 18 42 8 1 "acid" 2 1
"Known" 1 2 18 42 8 2 "surround" -1 1
"Known" 1 2 18 42 8 3 "conflict" -1 1
"Known" 1 2 18 42 8 4 "cottage" -1 1
"Known" 1 2 18 42 8 5 "water" 3 1
"Known" 1 2 18 42 8 6 "captain" 1 1
"Known" 1 2 18 42 8 7 "empire" 5 1
"Known" 1 2 18 42 8 8 "awake" 4 1
"Known" 1 2 19 43 8 1 "basin" -1 1
"Known" 1 2 19 43 8 2 "maybe" -1 1
"Known" 1 2 19 43 8 3 "even" -1 1
"Known" 1 2 19 43 8 4 "loudly" -1 1
"Known" 1 2 19 43 8 5 "status" 3 1
"Known" 1 2 19 43 8 6 "rubber" 4 1
"Known" 1 2 19 43 8 7 "widow" 2 1
"Known" 1 2 19 43 8 8 "victim" 1 1
"Known" 1 2 20 44 8 1 "modest" -1 1
"Known" 1 2 20 44 8 2 "ever" -1 1
"Known" 1 2 20 44 8 3 "disguise" -1 1
"Known" 1 2 20 44 8 4 "punish" -1 1
"Known" 1 2 20 44 8 5 "beauty" 3 1
"Known" 1 2 20 44 8 6 "acquaint" -1 1
"Known" 1 2 20 44 8 7 "backward" 2 1
"Known" 1 2 20 44 8 8 "oblige" 1 1
"Known" 1 2 21 45 8 1 "compare" -1 1
"Known" 1 2 21 45 8 2 "neither" -1 1
"Known" 1 2 21 45 8 3 "consent" -1 1
"Known" 1 2 21 45 8 4 "mischief" 4 1
"Known" 1 2 21 45 8 5 "disgust" -1 1
"Known" 1 2 21 45 8 6 "button" 3 1
"Known" 1 2 21 45 8 7 "apart" 1 1
"Known" 1 2 21 45 8 8 "support" 2 1
"Known" 1 2 22 46 8 1 "wealthy" 5 1
"Known" 1 2 22 46 8 2 "import" -1 1
"Known" 1 2 22 46 8 3 "yellow" 4 1
"Known" 1 2 22 46 8 4 "sadly" -1 1
"Known" 1 2 22 46 8 5 "severe" -1 1
"Known" 1 2 22 46 8 6 "narrow" 2 1
"Known" 1 2 22 46 8 7 "errand" -1 1
"Known" 1 2 22 46 8 8 "forehead" 1 1
"Known" 1 2 23 47 8 1 "theory" -1 1
"Known" 1 2 23 47 8 2 "motor" -1 1
"Known" 1 2 23 47 8 3 "herald" -1 1
"Known" 1 2 23 47 8 4 "abuse" 1 1
"Known" 1 2 23 47 8 5 "fatal" 5 1
"Known" 1 2 23 47 8 6 "couple" 2 1
"Known" 1 2 23 47 8 7 "compound" 3 1
"Known" 1 2 23 47 8 8 "further" 4 1
"Known" 1 2 24 48 8 1 "appeal" -1 1
"Known" 1 2 24 48 8 2 "purely" -1 1
"Known" 1 2 24 48 8 3 "body" -1 1
"Known" 1 2 24 48 8 4 "hero" -1 1
"Known" 1 2 24 48 8 5 "entire" -1 1
"Known" 1 2 24 48 8 6 "mainly" 2 1
"Known" 1 2 24 48 8 7 "bushel" 1 1
"Known" 1 2 24 48 8 8 "likewise" 3 1
"Known" 1 3 1 49 2 1 "slipper" 1 1
"Known" 1 3 1 49 2 2 "commence" 2 1
"Known" 1 3 2 50 2 1 "among" 1 1
"Known" 1 3 2 50 2 2 "motive" 2 1
"Known" 1 3 3 51 2 1 "excite" 1 1
"Known" 1 3 3 51 2 2 "remove" 2 1
"Known" 1 3 4 52 2 1 "football" 1 1
"Known" 1 3 4 52 2 2 "lively" 2 1
"Known" 1 3 5 53 2 1 "courage" 1 1
"Known" 1 3 5 53 2 2 "crystal" 2 1
"Known" 1 3 6 54 2 1 "foolish" 1 1
"Known" 1 3 6 54 2 2 "commerce" 2 1
"Known" 1 3 7 55 2 1 "incline" 1 1
"Known" 1 3 7 55 2 2 "simple" 2 1
"Known" 1 3 8 56 2 1 "former" 1 1
"Known" 1 3 8 56 2 2 "language" 2 1
"Known" 1 3 9 57 6 1 "evening" 1 1
"Known" 1 3 9 57 6 2 "arrive" 2 1
"Known" 1 3 9 57 6 3 "happen" 6 1
"Known" 1 3 9 57 6 4 "gently" 3 1
"Known" 1 3 9 57 6 5 "engage" 4 1
"Known" 1 3 9 57 6 6 "enforce" 5 1
"Known" 1 3 10 58 6 1 "instinct" 4 1
"Known" 1 3 10 58 6 2 "reform" 5 1
"Known" 1 3 10 58 6 3 "merit" -1 1
"Known" 1 3 10 58 6 4 "emerge" 2 1
"Known" 1 3 10 58 6 5 "desire" 3 1
"Known" 1 3 10 58 6 6 "refer" 1 1
"Known" 1 3 11 59 6 1 "carbon" 2 1
"Known" 1 3 11 59 6 2 "assure" -1 1
"Known" 1 3 11 59 6 3 "measure" 4 1
"Known" 1 3 11 59 6 4 "city" 3 1
"Known" 1 3 11 59 6 5 "endure" 5 1
"Known" 1 3 11 59 6 6 "student" 1 1
"Known" 1 3 12 60 6 1 "slender" 4 1
"Known" 1 3 12 60 6 2 "olive" 5 1
"Known" 1 3 12 60 6 3 "event" -1 1
"Known" 1 3 12 60 6 4 "ticket" 3 1
"Known" 1 3 12 60 6 5 "total" 1 1
"Known" 1 3 12 60 6 6 "moment" 2 1
"Known" 1 3 13 61 6 1 "silver" 4 1
"Known" 1 3 13 61 6 2 "convert" -1 1
"Known" 1 3 13 61 6 3 "circuit" -1 1
"Known" 1 3 13 61 6 4 "guilty" 1 1
"Known" 1 3 13 61 6 5 "bestow" 2 1
"Known" 1 3 13 61 6 6 "reckless" -1 1
"Known" 1 3 14 62 6 1 "over" 1 1
"Known" 1 3 14 62 6 2 "stomach" -1 1
"Known" 1 3 14 62 6 3 "wedding" -1 1
"Known" 1 3 14 62 6 4 "limit" 2 1
"Known" 1 3 14 62 6 5 "social" 3 1
"Known" 1 3 14 62 6 6 "diamond" 4 1
"Known" 1 3 15 63 6 1 "duty" -1 1
"Known" 1 3 15 63 6 2 "normal" -1 1
"Known" 1 3 15 63 6 3 "surely" -1 1
"Known" 1 3 15 63 6 4 "monarch" 1 1
"Known" 1 3 15 63 6 5 "highway" 2 1
"Known" 1 3 15 63 6 6 "tennis" -1 1
"Known" 1 3 16 64 6 1 "replace" 3 1
"Known" 1 3 16 64 6 2 "county" -1 1
"Known" 1 3 16 64 6 3 "purple" -1 1
"Known" 1 3 16 64 6 4 "regard" 2 1
"Known" 1 3 16 64 6 5 "talent" 4 1
"Known" 1 3 16 64 6 6 "admire" 1 1
"Known" 1 3 17 65 4 1 "harness" 1 1
"Known" 1 3 17 65 4 2 "record" 2 1
"Known" 1 3 17 65 4 3 "proudly" 3 1
"Known" 1 3 17 65 4 4 "upset" 4 1
"Known" 1 3 18 66 4 1 "district" 1 1
"Known" 1 3 18 66 4 2 "paper" 2 1
"Known" 1 3 18 66 4 3 "relief" 4 1
"Known" 1 3 18 66 4 4 "effort" 3 1
"Known" 1 3 19 67 4 1 "many" 1 1
"Known" 1 3 19 67 4 2 "occur" 2 1
"Known" 1 3 19 67 4 3 "reserve" -1 1
"Known" 1 3 19 67 4 4 "rival" 3 1
"Known" 1 3 20 68 4 1 "worker" 1 1
"Known" 1 3 20 68 4 2 "correct" -1 1
"Known" 1 3 20 68 4 3 "adopt" 2 1
"Known" 1 3 20 68 4 4 "virtue" 3 1
"Known" 1 3 21 69 4 1 "partner" 1 1
"Known" 1 3 21 69 4 2 "indeed" 3 1
"Known" 1 3 21 69 4 3 "appear" 2 1
"Known" 1 3 21 69 4 4 "winter" 4 1
"Known" 1 3 22 70 4 1 "mother" 1 1
"Known" 1 3 22 70 4 2 "hotel" 2 1
"Known" 1 3 22 70 4 3 "greatly" 3 1
"Known" 1 3 22 70 4 4 "cotton" 4 1
"Known" 1 3 23 71 4 1 "plainly" 1 1
"Known" 1 3 23 71 4 2 "rocky" -1 1
"Known" 1 3 23 71 4 3 "nation" 3 1
"Known" 1 3 23 71 4 4 "career" 2 1
"Known" 1 3 24 72 4 1 "welfare" 3 1
"Known" 1 3 24 72 4 2 "habit" 4 1
"Known" 1 3 24 72 4 3 "portion" 2 1
