 1  0  1  5  6  1  4  5 -9 3418 1612 2125 1917 313 13 
 1  1  1  4  6 -9  6 -9  3 2359 493 1047 451 313 505 
 1  2  1  1  4 -9  3  6 -9 1791 568 770 1142 768 1621 
 1  3  1  1  2  4 -9  6  3 1353 759 854 993 409 1439 
 1  4  1  1  3  2 -9  4  3 2671 429 781 462 547 1461 
 1  5  1  3  4 -9  6  5 -9 1925 430 536 834 1057 770 
 1  6  1  4 -9  6 -9  5  1 2082 420 438 423 717 930 
 1  7  1  4  6 -9 -9 -9  4 1940 420 829 393 780 537 
 1  8  1  2  4  6 -9  5 -9 1546 547 791 484 360 1116 
 1  9  1  5  3  6  1  4  2 1369 430 580 459 1356 356 
 1 10  1 -1 -9 -9  6 -9  3 5048 2776 271 338 260 282 
 1 11  1 -9  2 -9  3  4 -9 1639 2999 1948 558 314 282 
 1 12  1  1 -9 -9 -9  6 -9 1498 431 2033 335 2469 1163 
 1 13  1  2  3 -9  5  6  3 2090 462 1460 600 559 272 
 1 14  1  3  5  1  6 -9  1 1657 1300 568 578 463 653 
 1 15  1  5  3 -9  4 -9  6 1574 972 1322 473 1990 345 
 1 16  1  1 -9 -9  2 -9 -9 1436 1364 558 452 399 341 
 1 17  1  1 -9 -9 -9  6  4 2137 1099 356 346 770 388 
 1 18  1 -9 -9 -9  3 -9 -9 2056 483 346 377 747 1039 
 1 19  1  4  6 -9 -9  2 -9 2116 420 420 420 920 1237 
 1 20  1  3 -9 -9 -9 -9 -9 1522 536 378 771 409 389 
 1 21  1  1 -9  4  3  6 -9 1673 674 483 1281 930 1529 
 1 22  1  1  3 -9  6  5 -9 2784 1195 1131 1015 728 590 
 1 23  1  1  2  3  6 -9 -9 1770 1183 1492 844 495 888 
 1 24  1  1  2  6 -9  5  4 1632 982 760 462 388 2469 
 1 25  1  1  5 -9 -9  4  2 1418 611 579 1172 538 671 
 1 26  1  1 -9 -9  4 -9  6 2121 419 548 855 377 1159 
 1 27  1  1  2 -9  4 -9 -9 1420 728 600 250 1061 1689 
 1 28  1  4 -9 -9 -9 -9 -9 2640 310 208 1142 282 1206 
 1 29  1  6  3 -9 -9  6 -9 2000 442 441 399 580 261 
 1 30  1 -9  5 -9  6 -9 -9 1652 675 462 516 1291 434 
 1 31  1  1  3 -9 -9  2  1 1829 824 536 528 918 1089 
 1 32  1 -9  2  5  3  6 -9 2003 579 633 2151 750 175 
 1 33  1  3  5  2 -9 -9  3 1840 307 1895 706 1758 283 
 1 34  1  1  6 -9 -9  5 -9 1639 398 388 367 484 388 
