"" "" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
3 201 1 1 2 2 1 1 1 0.714 1
3 201 1 2 5 6 0 0 1 0.574 1
3 201 1 3 1 1 1 1 1 0.771 0
3 201 1 4 3 4 0 0 1 0.478 1
3 201 1 5 1 2 1 0 0 0.738 1
3 201 1 6 5 6 1 0 0 0.547 1
3 201 1 7 3 3 1 1 1 1.01 0
3 201 1 8 1 2 0 0 1 0.867 1
3 201 1 9 1 1 1 1 1 0.706 0
3 201 1 10 4 5 0 0 1 0.891 0
3 201 1 11 2 2 1 1 1 0.714 1
3 201 1 12 5 6 0 0 1 0.576 1
3 201 1 13 5 2 1 1 1 0.769 0
3 201 1 14 2 1 1 1 1 0.492 1
3 201 1 15 4 3 1 1 1 0.482 1
3 201 1 16 4 5 0 0 1 0.555 1
3 201 1 17 3 4 0 0 1 0.562 1
3 201 1 18 1 1 0 1 0 0.515 1
3 201 1 19 3 3 1 1 1 0.401 1
3 201 1 20 1 2 1 0 0 0.401 1
3 201 1 21 2 3 1 0 0 0.524 1
3 201 1 22 3 4 0 0 1 0.531 1
3 201 1 23 1 2 0 0 1 1.074 0
3 201 1 24 5 3 1 1 1 0.757 0
3 201 1 25 2 2 1 1 1 0.524 1
3 201 1 26 1 2 0 0 1 0.626 1
3 201 1 27 3 1 1 1 1 0.739 0
3 201 1 28 2 3 0 0 1 0.572 1
3 201 1 29 5 3 1 1 1 0.784 0
3 201 1 30 3 2 1 1 1 0.468 1
3 201 1 31 2 3 0 0 1 0.507 1
3 201 1 32 4 1 1 1 1 0.505 1
3 201 1 33 5 6 1 0 0 0.658 1
3 201 1 34 1 1 1 1 1 0.418 1
3 201 1 35 4 5 0 0 1 0.586 1
3 201 1 36 3 4 0 0 1 0.739 0
3 201 1 37 3 3 1 1 1 0.58 0
3 201 1 38 4 4 1 1 1 0.506 1
3 201 1 39 2 3 0 0 1 0.443 1
3 201 1 40 4 5 0 0 1 0.601 1
3 201 1 41 2 1 1 1 1 0.476 1
3 201 1 42 3 4 0 0 1 0.596 1
3 201 1 43 2 3 0 0 1 0.46 1
3 201 1 44 1 1 0 1 0 0.496 1
3 201 1 45 5 1 1 1 1 0.516 1
3 201 1 46 4 2 1 1 1 0.585 1
3 201 1 47 4 5 0 0 1 0.508 1
3 201 1 48 4 2 1 1 1 0.491 1
3 201 1 49 5 6 0 0 1 0.482 1
3 201 1 50 5 1 0 1 0 0.596 1
3 201 2 1 2 3 0 0 1 0.622 1
3 201 2 2 1 1 1 1 1 0.579 1
3 201 2 3 3 4 0 0 1 0.497 1
3 201 2 4 3 1 1 1 1 0.69 1
3 201 2 5 1 2 0 0 1 0.48 1
3 201 2 6 1 1 1 1 1 0.515 1
3 201 2 7 5 6 0 0 1 0.545 1
3 201 2 8 4 5 0 0 1 0.476 1
3 201 2 9 5 6 0 0 1 0.996 0
3 201 2 10 1 2 0 0 1 0.66 1
3 201 2 11 4 3 1 1 1 0.637 1
3 201 2 12 3 4 0 0 1 0.42 1
3 201 2 13 4 3 1 1 1 0.711 0
3 201 2 14 2 3 0 0 1 0.441 1
3 201 2 15 3 4 0 0 1 0.48 1
3 201 2 16 4 4 1 1 1 0.587 1
3 201 2 17 3 4 0 0 1 0.562 1
3 201 2 18 1 2 1 0 0 0.467 1
3 201 2 19 5 6 0 0 1 0.656 1
3 201 2 20 1 1 1 1 1 0.497 1
3 201 2 21 4 5 0 0 1 0.619 1
3 201 2 22 3 2 1 1 1 0.593 1
3 201 2 23 2 3 0 0 1 0.509 1
3 201 2 24 4 2 1 1 1 0.586 1
3 201 2 25 3 2 1 1 1 0.483 1
3 201 2 26 4 5 0 0 1 0.46 1
3 201 2 27 4 5 0 0 1 0.716 1
3 201 2 28 5 4 1 1 1 0.465 1
3 201 2 29 4 4 1 1 1 0.394 1
3 201 2 30 2 2 1 1 1 0.363 1
3 201 2 31 2 3 0 0 1 0.443 1
3 201 2 32 3 4 1 0 0 0.403 1
3 201 2 33 2 3 0 0 1 0.489 1
3 201 2 34 3 1 1 1 1 0.498 1
3 201 2 35 5 3 1 1 1 0.628 1
3 201 2 36 3 3 1 1 1 0.449 1
3 201 2 37 2 2 1 1 1 0.377 1
3 201 2 38 1 1 1 1 1 0.388 1
3 201 2 39 2 2 1 1 1 0.346 1
3 201 2 40 1 1 1 1 1 0.403 1
3 201 2 41 5 6 0 0 1 0.641 1
3 201 2 42 5 3 1 1 1 0.576 1
3 201 2 43 2 2 1 1 1 0.393 1
3 201 2 44 5 5 1 1 1 0.403 1
3 201 2 45 5 6 0 0 1 0.544 1
3 201 2 46 5 3 1 1 1 0.355 1
3 201 2 47 1 2 0 0 1 0.469 1
3 201 2 48 1 2 0 0 1 0.723 1
3 201 2 49 2 2 1 1 1 0.491 1
