"rep(2, length(dats[, 1]))" "dat[, 1]" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
2 154 4 26 4 5 0 0 1 0.85 TRUE
2 154 4 27 2 3 0 0 1 0.929 TRUE
2 154 4 28 4 2 1 1 1 0.678 TRUE
2 154 4 29 4 5 0 0 1 2.104 FALSE
2 154 4 30 5 3 1 1 1 1.199 TRUE
2 154 5 1 2 2 1 1 1 0.614 TRUE
2 154 5 2 4 3 1 1 1 0.773 TRUE
2 154 5 3 5 2 1 1 1 1.501 FALSE
2 154 5 4 3 4 0 0 1 0.569 TRUE
2 154 5 5 3 4 0 0 1 0.861 TRUE
2 154 5 6 2 3 0 0 1 1.087 FALSE
2 154 5 7 3 2 1 1 1 0.793 TRUE
2 154 5 8 5 6 0 0 1 0.768 TRUE
2 154 5 9 5 3 1 1 1 1.329 TRUE
2 154 5 10 3 4 0 0 1 0.77 TRUE
2 154 5 11 4 1 1 1 1 0.69 TRUE
2 154 5 12 3 1 1 1 1 0.555 TRUE
2 154 5 13 1 1 1 1 1 0.597 TRUE
2 154 5 14 5 6 0 0 1 1.843 FALSE
2 154 5 15 5 5 1 1 1 0.718 TRUE
2 154 5 16 4 5 0 0 1 0.794 TRUE
2 154 5 17 5 6 0 0 1 0.761 TRUE
2 154 5 18 5 6 0 0 1 0.723 TRUE
2 154 5 19 5 4 1 1 1 0.795 TRUE
2 154 5 20 4 4 1 1 1 0.603 TRUE
2 154 5 21 4 5 0 0 1 2.488 FALSE
2 154 5 22 5 1 1 1 1 0.689 TRUE
2 154 5 23 4 5 0 0 1 0.863 TRUE
2 154 5 24 5 6 0 0 1 0.752 TRUE
2 154 5 25 4 5 0 0 1 0.795 TRUE
2 154 5 26 4 2 1 1 1 1.184 FALSE
2 154 5 27 2 3 0 0 1 0.684 TRUE
2 154 5 28 3 3 1 1 1 0.607 TRUE
2 154 5 29 1 2 0 0 1 0.751 TRUE
2 154 5 30 2 1 1 1 1 0.61 TRUE
2 154 6 1 3 3 1 1 1 0.869 FALSE
2 154 6 2 3 4 0 0 1 0.866 TRUE
2 154 6 3 2 3 0 0 1 0.623 TRUE
2 154 6 4 5 5 1 1 1 0.874 TRUE
2 154 6 5 3 2 1 1 1 0.758 TRUE
2 154 6 6 2 3 0 0 1 0.639 TRUE
2 154 6 7 5 3 1 1 1 0.753 TRUE
2 154 6 8 5 2 1 1 1 0.763 TRUE
2 154 6 9 5 4 1 1 1 0.847 TRUE
2 154 6 10 4 1 1 1 1 0.667 TRUE
2 154 6 11 4 5 0 0 1 0.704 TRUE
2 154 6 12 4 3 1 1 1 0.63 TRUE
2 154 6 13 3 1 1 1 1 0.605 TRUE
2 154 6 14 5 6 0 0 1 1.666 TRUE
2 154 6 15 1 2 0 0 1 0.599 TRUE
2 154 6 16 2 1 1 1 1 0.693 TRUE
2 154 6 17 2 2 1 1 1 0.519 TRUE
2 154 6 18 5 6 0 0 1 0.584 TRUE
2 154 6 19 5 1 1 1 1 0.581 TRUE
2 154 6 20 5 6 0 0 1 1.529 TRUE
2 154 6 21 1 1 1 1 1 0.614 TRUE
2 154 6 22 3 4 0 0 1 0.672 TRUE
2 154 6 23 5 6 0 0 1 1.986 FALSE
2 154 6 24 4 5 0 0 1 0.86 TRUE
2 154 6 25 4 5 0 0 1 0.754 TRUE
2 154 6 26 5 6 0 0 1 1.019 TRUE
2 154 6 27 4 5 0 0 1 0.673 TRUE
2 154 6 28 4 2 1 1 1 0.637 TRUE
2 154 6 29 4 4 1 1 1 0.91 FALSE
2 154 6 30 3 4 0 0 1 0.643 TRUE
2 154 7 1 5 1 1 1 1 0.593 TRUE
2 154 7 2 4 5 0 0 1 0.579 TRUE
2 154 7 3 4 2 1 1 1 0.789 TRUE
2 154 7 4 4 1 1 1 1 0.737 TRUE
2 154 7 5 2 3 0 0 1 0.614 TRUE
2 154 7 6 2 2 1 1 1 0.542 TRUE
2 154 7 7 5 3 1 1 1 1.904 TRUE
2 154 7 8 5 6 0 0 1 0.81 TRUE
2 154 7 9 3 1 1 1 1 0.547 TRUE
2 154 7 10 3 4 0 0 1 0.602 TRUE
2 154 7 11 5 6 0 0 1 3.66 FALSE
2 154 7 12 5 4 1 1 1 1.058 TRUE
2 154 7 13 5 6 0 0 1 0.806 TRUE
2 154 7 14 4 5 0 0 1 1.147 TRUE
