"" "" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
6 2 1 1 4 4 1 1 1 1.578 1
6 2 1 2 1 2 0 0 1 0.908 1
6 2 1 3 1 1 1 1 1 1.116 1
6 2 1 4 5 4 1 1 1 1.742 0
6 2 1 5 5 5 1 1 1 0.737 1
6 2 1 6 1 2 0 0 1 0.988 1
6 2 1 7 1 2 0 0 1 1.752 0
6 2 1 8 4 5 0 0 1 1.323 1
6 2 1 9 4 1 1 1 1 1.14 1
6 2 1 10 2 3 0 0 1 1.639 0
6 2 1 11 5 1 1 1 1 1.086 1
6 2 1 12 3 3 1 1 1 0.737 1
6 2 1 13 3 4 0 0 1 1.221 1
6 2 1 14 1 2 0 0 1 1.163 1
6 2 1 15 2 1 1 1 1 0.939 1
6 2 1 16 5 6 0 0 1 1.068 1
6 2 1 17 3 1 1 1 1 0.943 1
6 2 1 18 4 5 0 0 1 1.168 1
6 2 1 19 2 3 0 0 1 1.032 1
6 2 1 20 5 6 0 0 1 0.987 1
6 2 1 21 2 3 0 0 1 0.747 1
6 2 1 22 3 4 0 0 1 0.897 1
6 2 1 23 5 6 0 0 1 1.279 1
6 2 1 24 3 2 1 1 1 0.822 1
6 2 1 25 1 1 1 1 1 0.893 1
6 2 1 26 2 2 1 1 1 0.763 1
6 2 1 27 4 2 1 1 1 0.96 1
6 2 1 28 1 2 0 0 1 0.512 1
6 2 1 29 4 5 0 0 1 1.088 1
6 2 1 30 3 4 0 0 1 0.925 1
6 2 1 31 4 2 1 1 1 0.703 1
6 2 1 32 4 5 0 0 1 0.784 1
6 2 1 33 5 2 1 1 1 1.659 1
6 2 1 34 2 2 1 1 1 0.614 1
6 2 1 35 3 4 0 0 1 0.95 1
6 2 1 36 1 1 1 1 1 0.49 1
6 2 1 37 5 6 0 0 1 1.473 1
6 2 1 38 3 1 1 1 1 0.688 1
6 2 1 39 3 4 0 0 1 0.59 1
6 2 1 40 2 1 1 1 1 0.6 1
6 2 1 41 4 5 0 0 1 0.543 1
6 2 1 42 5 4 1 1 1 0.691 1
6 2 1 43 4 1 1 1 1 0.762 1
6 2 1 44 2 3 0 0 1 0.553 1
6 2 1 45 2 2 1 1 1 0.969 1
6 2 1 46 5 6 0 0 1 0.615 1
6 2 1 47 2 3 0 0 1 0.585 1
6 2 1 48 1 1 1 1 1 1.772 0
6 2 1 49 3 3 1 1 1 1.056 1
6 2 1 50 1 1 1 1 1 0.57 1
6 2 2 1 2 3 0 0 1 1.222 1
6 2 2 2 3 4 0 0 1 0.582 1
6 2 2 3 5 5 1 1 1 0.924 1
6 2 2 4 3 3 1 1 1 0.783 1
6 2 2 5 4 2 1 1 1 0.752 1
6 2 2 6 1 2 0 0 1 0.379 1
6 2 2 7 4 5 0 0 1 0.782 1
6 2 2 8 5 5 1 1 1 1.037 1
6 2 2 9 4 5 0 0 1 0.737 1
6 2 2 10 5 6 0 0 1 0.717 1
6 2 2 11 5 6 0 0 1 0.799 1
6 2 2 12 4 1 1 1 1 0.894 1
6 2 2 13 2 3 1 0 0 0.52 1
6 2 2 14 3 4 0 0 1 1.19 1
6 2 2 15 3 4 0 0 1 0.933 1
6 2 2 16 5 2 1 1 1 0.864 1
6 2 2 17 3 2 1 1 1 1.09 1
6 2 2 18 1 2 0 0 1 0.686 1
6 2 2 19 1 2 0 0 1 2.429 0
6 2 2 20 3 2 1 1 1 0.755 1
6 2 2 21 1 2 0 0 1 0.589 1
