"" "" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
7 3 1 1 2 3 0 0 1 5.46 0
7 3 1 2 2 3 1 0 0 2.395 0
7 3 1 3 4 4 1 1 1 2.342 0
7 3 1 4 5 6 0 0 1 1.854 0
7 3 1 5 4 3 1 1 1 2.041 0
7 3 1 6 3 4 0 0 1 1.675 0
7 3 1 7 5 2 1 1 1 1.109 1
7 3 1 8 5 5 1 1 1 1.028 1
7 3 1 9 2 1 1 1 1 1.083 1
7 3 1 10 3 4 0 0 1 1.355 1
7 3 1 11 1 1 1 1 1 1.504 0
7 3 1 12 2 2 1 1 1 1.054 1
7 3 1 13 4 5 0 0 1 1.235 1
7 3 1 14 1 2 0 0 1 1.823 0
7 3 1 15 2 3 0 0 1 1.468 1
7 3 1 16 1 1 1 1 1 0.881 1
7 3 1 17 1 2 0 0 1 1.249 1
7 3 1 18 1 2 0 0 1 1.647 0
7 3 1 19 3 4 0 0 1 1.031 1
7 3 1 20 2 2 1 1 1 0.926 1
7 3 1 21 3 3 1 1 1 1.18 1
7 3 1 22 2 2 1 1 1 0.732 1
7 3 1 23 5 6 0 0 1 1.188 1
7 3 1 24 4 1 1 1 1 2.088 0
7 3 1 25 3 4 0 0 1 1.274 1
7 3 1 26 3 4 0 0 1 1.162 1
7 3 1 27 3 1 1 1 1 1.752 1
7 3 1 28 3 3 1 1 1 1.625 0
7 3 1 29 5 6 0 0 1 1.683 1
7 3 1 30 1 1 1 1 1 0.918 1
7 3 1 31 1 1 1 1 1 1.248 1
7 3 1 32 2 3 0 0 1 1.526 1
7 3 1 33 5 5 1 1 1 1.27 0
7 3 1 34 5 5 1 1 1 1.41 0
7 3 1 35 5 5 1 1 1 0.839 1
7 3 1 36 4 5 0 0 1 1.435 1
7 3 1 37 4 5 0 0 1 1.148 1
7 3 1 38 4 5 0 0 1 1.322 1
7 3 1 39 1 2 0 0 1 0.861 1
7 3 1 40 4 1 1 1 1 1.033 1
7 3 1 41 3 2 1 1 1 0.908 1
7 3 1 42 3 3 1 1 1 0.65 1
7 3 1 43 2 3 0 0 1 2.127 0
7 3 1 44 1 1 1 1 1 1.007 1
7 3 1 45 5 6 0 0 1 1.19 1
7 3 1 46 4 2 1 1 1 0.947 1
7 3 1 47 5 6 0 0 1 1.494 1
7 3 1 48 2 2 1 1 1 0.704 1
7 3 1 49 4 5 0 0 1 0.871 1
7 3 1 50 1 2 0 0 1 0.951 1
7 3 2 1 3 4 0 0 1 0.959 1
7 3 2 2 3 4 0 0 1 1.065 1
7 3 2 3 2 1 1 1 1 1.164 1
7 3 2 4 1 2 0 0 1 1.521 1
7 3 2 5 2 2 1 1 1 1.791 0
7 3 2 6 1 2 0 0 1 0.895 1
7 3 2 7 5 6 0 0 1 2.466 0
7 3 2 8 1 2 0 0 1 1.377 1
7 3 2 9 5 6 0 0 1 1.669 1
7 3 2 10 3 3 1 1 1 0.843 1
7 3 2 11 4 1 1 1 1 0.949 1
7 3 2 12 2 1 1 1 1 1.241 1
7 3 2 13 1 1 1 1 1 0.819 1
7 3 2 14 4 3 1 1 1 0.839 1
7 3 2 15 2 3 0 0 1 1.696 0
7 3 2 16 3 4 0 0 1 0.941 1
7 3 2 17 5 4 1 1 1 0.694 1
7 3 2 18 4 5 0 0 1 0.923 1
7 3 2 19 2 1 1 1 1 1.289 1
7 3 2 20 2 3 0 0 1 1.822 0
7 3 2 21 4 5 0 0 1 1.05 1
7 3 2 22 1 2 0 0 1 1.153 1
7 3 2 23 2 3 0 0 1 1.343 1
7 3 2 24 4 5 0 0 1 0.735 1
7 3 2 25 3 2 1 1 1 1.802 0
7 3 2 26 1 1 1 1 1 1.009 1
7 3 2 27 4 5 0 0 1 0.968 1
7 3 2 28 5 6 0 0 1 0.743 1
7 3 2 29 5 3 1 1 1 1.171 1
7 3 2 30 4 1 1 1 1 0.872 1
7 3 2 31 2 1 1 1 1 0.525 1
7 3 2 32 3 2 1 1 1 0.667 1
7 3 2 33 5 4 1 1 1 0.613 1
7 3 2 34 3 4 0 0 1 0.554 1
7 3 2 35 5 2 1 1 1 0.55 1
7 3 2 36 2 3 0 0 1 0.559 1
7 3 2 37 4 4 1 1 1 0.522 1
7 3 2 38 4 1 1 1 1 1.018 1
7 3 2 39 3 1 1 1 1 0.585 1
7 3 2 40 3 3 1 1 1 0.795 1
7 3 2 41 4 5 0 0 1 0.521 1
7 3 2 42 1 1 1 1 1 0.653 1
7 3 2 43 2 3 0 0 1 0.51 1
7 3 2 44 1 2 0 0 1 1.679 0
7 3 2 45 5 1 1 1 1 1.008 1
7 3 2 46 1 1 1 1 1 0.782 1
7 3 2 47 1 1 1 1 1 0.491 1
7 3 2 48 5 6 0 0 1 1.102 1
7 3 2 49 5 6 0 0 1 1.109 1
7 3 2 50 3 4 0 0 1 1.125 1
7 3 3 1 3 4 0 0 1 0.795 1
7 3 3 2 5 6 0 0 1 0.9 1
7 3 3 3 1 2 0 0 1 0.496 1
7 3 3 4 3 4 0 0 1 0.519 1
7 3 3 5 5 1 1 1 1 0.726 1
7 3 3 6 5 2 1 1 1 0.611 1
7 3 3 7 2 3 0 0 1 0.477 1
7 3 3 8 2 3 0 0 1 1.031 1
7 3 3 9 3 3 1 1 1 0.535 1
