63 1  1062 219 779 148 668 1458 694 1637 475 1433 912 1416 785 1411 701 969   701 969 475 785 1411 1062 219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   15 16 9 13 14 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   2050 3671 6176 8426 18054 40029 41620 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  1175 788 653 1031 1410 184 1134 993 152 313 1033 1591 652 1115 1184 1531   1531 313 1033 993 1134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   16 10 11 8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   1432 3213 5916 8121 39425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  329 605 414 1614 852 950 1105 10 1144 459 856 455 1178 277 1415 1118   605 414 950 852 277 1415 329 455 1591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   2 3 6 5 14 15 1 12 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   3761 5398 8116 9683 12137 14093 18393 49806 56736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  843 1173 1067 46 1435 1561 1202 30 270 493 815 102 233 796 500 753   500 753 843 1173 46 815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   15 16 1 2 4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   1486 3726 5368 7622 10047 29009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  1044 372 556 1600 685 1598 409 989 1326 100 757 94 1491 1398 56 1261   1261 1491 409 989 1044 372 556 1598 757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   16 13 7 8 1 2 3 6 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   3252 5043 6610 8675 10676 16502 17595 31887 36911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  257 1454 315 1596 1400 1578 840 1069 1294 1254 572 758 1052 620 1230 380   380 620 1052 315 1596 572 1294 758 1254 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   16 14 13 3 4 11 9 12 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   1671 3502 5203 6794 8840 10655 12541 14382 33758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  546 811 252 1093 147 241 589 1351 1373 1446 1621 310 920 188 22 339   339 22 188 1373 1446 589 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   16 15 14 9 10 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   1017 3073 4924 13454 16058 59973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  1179 1402 1468 581 1629 647 710 207 1313 1627 378 397 400 515 1579 1038   1038 515 1579 378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   16 14 15 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   1387 4255 5617 11514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  1107 410 206 1413 441 930 1439 975 242 109 1257 1193 535 1471 122 132   132 1471 1107 1193 1257 410 535 109 1439 930 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   16 14 1 12 11 2 13 10 7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   1392 3053 5298 8785 10730 15415 17181 28610 47123 48220 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
63 1  1427 555 949 1204 116 540 479 582 1386 888 258 1342 1198 574 87 1008   87 1342 1008 574 1471 888 479 540 87 116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   15 12 16 14 -1 10 7 6 15 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0   1466 2818 4684 6530 10456 12676 14522 16208 24664 55139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
