subj_idx,CSI,size,probe,rt,correct,stim,response
4,400,8,int,0.2027,0,1,1
23,100,4,pos,0.2081,0,2,0
4,2000,8,pos,0.2105,0,2,0
22,2000,8,pos,0.2191,0,2,0
22,400,6,pos,0.2265,1,2,1
5,400,6,pos,0.2274,1,2,1
6,400,8,int,0.2424,1,1,0
22,400,4,pos,0.2427,1,2,1
4,100,4,pos,0.2469,1,2,1
3,400,2,pos,0.2503,0,2,0
24,400,4,pos,0.2524,0,2,0
3,400,4,pos,0.2525,1,2,1
23,100,6,pos,0.2564,0,2,0
3,400,2,neg,0.2571,1,1,0
4,400,2,pos,0.2589,0,2,0
5,2000,2,neg,0.2592,0,1,1
22,2000,8,pos,0.2603,0,2,0
23,100,6,pos,0.2646,0,2,0
4,400,2,int,0.2674,1,1,0
4,100,4,int,0.2711,1,1,0
6,100,4,neg,0.2719,0,1,1
4,400,8,pos,0.2742,1,2,1
8,No,2,neg,0.2748,0,1,1
24,400,4,pos,0.2749,0,2,0
22,2000,4,pos,0.2754,1,2,1
8,400,6,pos,0.2754,1,2,1
6,400,6,pos,0.2758,1,2,1
19,400,6,pos,0.276,1,2,1
11,400,4,pos,0.2761,0,2,0
24,2000,2,pos,0.2763,0,2,0
6,2000,8,neg,0.2763,0,1,1
4,400,8,neg,0.28,1,1,0
6,2000,8,neg,0.2815,0,1,1
4,400,6,int,0.2826,1,1,0
22,400,4,pos,0.2827,1,2,1
22,400,8,pos,0.2832,1,2,1
22,400,4,pos,0.2834,1,2,1
23,No,8,pos,0.2834,0,2,0
6,2000,8,neg,0.2841,1,1,0
6,100,6,pos,0.2882,1,2,1
4,400,4,pos,0.2883,1,2,1
24,2000,2,int,0.2898,1,1,0
22,No,8,int,0.2901,1,1,0
5,400,6,neg,0.2907,0,1,1
4,400,8,pos,0.291,1,2,1
24,400,6,neg,0.2914,1,1,0
6,2000,2,pos,0.2918,1,2,1
3,400,8,int,0.2924,1,1,0
4,100,8,pos,0.2953,1,2,1
8,100,6,int,0.2957,0,1,1
6,100,8,neg,0.2962,0,1,1
5,2000,4,int,0.298,0,1,1
22,400,6,pos,0.2989,1,2,1
6,400,4,int,0.2991,0,1,1
22,2000,4,pos,0.2992,1,2,1
24,2000,4,pos,0.2993,0,2,0
22,400,2,pos,0.2993,1,2,1
23,2000,8,neg,0.2997,0,1,1
6,2000,6,pos,0.3,0,2,0
6,2000,6,int,0.3001,1,1,0
23,2000,2,neg,0.3001,0,1,1
23,2000,8,pos,0.3007,0,2,0
7,2000,6,pos,0.3052,1,2,1
18,400,4,pos,0.3068,1,2,1
22,2000,8,neg,0.3068,1,1,0
22,2000,8,pos,0.3069,0,2,0
5,2000,6,pos,0.307,1,2,1
4,400,8,int,0.307,1,1,0
12,2000,2,pos,0.3072,1,2,1
22,400,2,pos,0.3072,1,2,1
4,400,6,neg,0.3074,0,1,1
7,2000,4,pos,0.3078,1,2,1
23,2000,6,int,0.3079,0,1,1
6,2000,6,neg,0.3081,0,1,1
23,400,6,pos,0.3081,1,2,1
23,2000,2,pos,0.3081,0,2,0
6,100,6,pos,0.312,1,2,1
12,2000,2,pos,0.3129,1,2,1
22,2000,2,pos,0.3133,1,2,1
7,2000,8,pos,0.3142,1,2,1
22,400,2,pos,0.3148,1,2,1
4,400,4,neg,0.3149,0,1,1
4,400,4,int,0.3149,0,1,1
12,400,2,pos,0.3149,1,2,1
5,400,8,neg,0.3156,0,1,1
22,2000,6,neg,0.3157,1,1,0
7,2000,2,pos,0.3157,1,2,1
22,2000,6,pos,0.3158,1,2,1
18,400,2,pos,0.3159,1,2,1
24,400,2,pos,0.3159,0,2,0
23,2000,4,pos,0.3159,0,2,0
6,2000,8,pos,0.316,0,2,0
23,400,6,pos,0.316,0,2,0
23,2000,6,neg,0.3164,0,1,1
4,400,4,int,0.3196,0,1,1
6,100,8,pos,0.3197,1,2,1
6,100,6,neg,0.32,1,1,0
19,400,4,pos,0.3218,1,2,1
5,2000,8,int,0.3223,0,1,1
4,400,4,int,0.3223,1,1,0
10,400,2,pos,0.3226,1,2,1
22,400,4,pos,0.3231,1,2,1
4,400,8,int,0.3233,0,1,1
22,400,4,neg,0.3233,1,1,0
22,400,4,pos,0.3235,1,2,1
22,2000,4,pos,0.3237,1,2,1
7,400,2,pos,0.3237,1,2,1
22,2000,4,pos,0.3238,1,2,1
19,No,2,pos,0.3239,1,2,1
11,2000,4,pos,0.3239,1,2,1
6,2000,6,neg,0.3239,0,1,1
4,2000,6,pos,0.324,0,2,0
3,400,8,pos,0.3241,0,2,0
23,2000,4,neg,0.3241,0,1,1
6,2000,6,pos,0.3242,1,2,1
24,400,6,neg,0.3244,0,1,1
3,400,8,int,0.3245,1,1,0
23,100,4,neg,0.3281,0,1,1
12,2000,6,pos,0.3282,1,2,1
24,400,4,pos,0.329,1,2,1
12,2000,8,pos,0.3292,1,2,1
22,400,8,pos,0.3306,0,2,0
24,No,6,int,0.3309,1,1,0
7,2000,2,pos,0.3309,1,2,1
18,2000,4,pos,0.3311,1,2,1
22,400,4,int,0.3312,1,1,0
7,2000,4,pos,0.3315,1,2,1
23,No,4,pos,0.3315,1,2,1
8,400,6,pos,0.3316,1,2,1
5,400,6,pos,0.3317,1,2,1
6,2000,8,pos,0.3318,1,2,1
22,2000,6,pos,0.3319,1,2,1
22,2000,2,pos,0.332,1,2,1
7,2000,6,int,0.3322,0,1,1
24,400,6,pos,0.3323,1,2,1
6,400,6,pos,0.3323,0,2,0
12,2000,8,pos,0.3342,1,2,1
12,2000,4,pos,0.3344,1,2,1
5,100,6,pos,0.3348,1,2,1
12,400,4,int,0.3348,1,1,0
12,100,2,pos,0.3351,1,2,1
12,400,6,neg,0.336,1,1,0
6,100,2,pos,0.336,1,2,1
11,2000,8,pos,0.3364,1,2,1
12,400,2,pos,0.3364,1,2,1
12,100,2,neg,0.3366,0,1,1
13,2000,6,pos,0.3393,1,2,1
11,2000,4,pos,0.3393,1,2,1
22,400,2,pos,0.3393,1,2,1
6,2000,2,pos,0.3394,1,2,1
22,2000,6,pos,0.3396,1,2,1
11,2000,6,pos,0.3396,1,2,1
19,2000,2,pos,0.3397,1,2,1
16,400,6,pos,0.3397,1,2,1
19,2000,4,pos,0.3398,1,2,1
22,2000,2,pos,0.3401,1,2,1
8,400,8,int,0.3401,1,1,0
7,2000,2,pos,0.3401,1,2,1
12,2000,2,pos,0.3402,1,2,1
12,2000,2,neg,0.3402,1,1,0
6,2000,2,pos,0.3403,1,2,1
24,2000,8,neg,0.3404,0,1,1
12,2000,4,pos,0.3404,1,2,1
3,400,4,neg,0.3409,1,1,0
12,400,6,neg,0.3413,1,1,0
12,400,2,int,0.3413,1,1,0
12,400,2,pos,0.3431,1,2,1
12,2000,2,pos,0.3432,1,2,1
6,100,8,pos,0.3439,1,2,1
6,100,8,pos,0.344,1,2,1
22,2000,4,pos,0.3442,1,2,1
12,2000,4,int,0.3448,1,1,0
22,2000,4,pos,0.3464,1,2,1
22,400,2,pos,0.3464,1,2,1
4,2000,6,pos,0.3469,1,2,1
5,2000,4,pos,0.3469,1,2,1
22,2000,2,int,0.347,1,1,0
22,2000,4,pos,0.3471,1,2,1
21,400,6,pos,0.3473,1,2,1
4,400,4,pos,0.3473,0,2,0
5,2000,6,pos,0.3475,1,2,1
22,2000,4,pos,0.3475,1,2,1
19,No,2,pos,0.3476,1,2,1
22,2000,8,neg,0.3476,1,1,0
7,2000,4,pos,0.3477,1,2,1
12,2000,6,pos,0.3479,1,2,1
7,2000,8,pos,0.348,1,2,1
3,400,6,pos,0.3481,0,2,0
19,400,2,pos,0.3481,1,2,1
19,400,4,pos,0.3481,1,2,1
24,400,4,pos,0.3481,0,2,0
23,2000,8,neg,0.3482,0,1,1
19,400,2,pos,0.3483,1,2,1
7,400,2,pos,0.3483,1,2,1
24,2000,8,pos,0.3484,1,2,1
6,400,4,pos,0.3484,0,2,0
3,400,2,pos,0.3485,0,2,0
3,400,6,int,0.3491,1,1,0
12,100,4,pos,0.3505,1,2,1
4,100,8,neg,0.3508,0,1,1
12,400,2,pos,0.3511,1,2,1
8,100,2,pos,0.3519,1,2,1
23,100,4,pos,0.3519,0,2,0
6,100,2,pos,0.3523,1,2,1
12,400,6,neg,0.3524,1,1,0
12,2000,6,neg,0.353,1,1,0
24,No,2,pos,0.3534,0,2,0
22,400,6,neg,0.3544,1,1,0
22,2000,4,pos,0.3551,1,2,1
22,400,4,pos,0.3552,1,2,1
19,400,4,pos,0.3553,1,2,1
22,2000,8,neg,0.3553,1,1,0
13,2000,2,pos,0.3556,1,2,1
8,2000,4,pos,0.3556,1,2,1
13,400,2,pos,0.3557,1,2,1
19,2000,6,pos,0.3557,1,2,1
12,2000,2,pos,0.3558,1,2,1
11,2000,2,pos,0.3558,1,2,1
6,2000,4,pos,0.3558,1,2,1
13,400,8,pos,0.3558,1,2,1
19,2000,4,pos,0.3559,1,2,1
18,400,2,pos,0.3559,1,2,1
18,400,2,pos,0.3559,1,2,1
19,2000,2,pos,0.356,1,2,1
6,2000,6,int,0.356,0,1,1
7,400,4,pos,0.3562,1,2,1
23,400,8,neg,0.3562,0,1,1
2,2000,4,pos,0.3563,1,2,1
12,2000,2,pos,0.3563,1,2,1
24,400,8,pos,0.3563,0,2,0
12,400,2,pos,0.3564,1,2,1
12,2000,2,pos,0.3564,1,2,1
19,400,2,pos,0.3565,1,2,1
6,100,6,pos,0.3594,1,2,1
4,100,8,pos,0.3594,0,2,0
5,100,2,pos,0.3595,1,2,1
5,No,2,pos,0.3597,1,2,1
24,100,2,pos,0.3599,0,2,0
19,2000,6,pos,0.3615,1,2,1
13,2000,4,pos,0.3616,1,2,1
19,2000,2,pos,0.3617,1,2,1
12,2000,4,pos,0.3624,1,2,1
12,400,4,pos,0.3625,1,2,1
22,400,4,pos,0.3625,1,2,1
22,2000,6,pos,0.3626,1,2,1
22,No,2,pos,0.3627,1,2,1
5,2000,4,pos,0.3629,1,2,1
11,400,2,pos,0.363,1,2,1
4,400,8,neg,0.363,0,1,1
22,2000,8,int,0.363,1,1,0
7,2000,2,pos,0.3631,1,2,1
22,2000,2,int,0.3634,1,1,0
6,2000,6,pos,0.3635,1,2,1
11,2000,4,pos,0.3635,1,2,1
18,2000,2,pos,0.3636,1,2,1
6,2000,4,pos,0.3636,1,2,1
18,400,4,pos,0.3637,1,2,1
19,2000,2,pos,0.3638,1,2,1
18,400,2,pos,0.3638,1,2,1
22,2000,2,pos,0.3639,1,2,1
22,2000,4,neg,0.3639,1,1,0
24,2000,4,pos,0.364,1,2,1
19,400,8,pos,0.3641,1,2,1
12,2000,8,pos,0.3644,1,2,1
24,2000,2,int,0.3644,1,1,0
6,400,8,pos,0.3644,0,2,0
12,400,4,int,0.3645,1,1,0
12,400,2,pos,0.3648,1,2,1
12,2000,6,neg,0.3649,1,1,0
12,400,4,neg,0.3657,1,1,0
24,100,8,pos,0.3662,0,2,0
12,400,2,pos,0.3664,1,2,1
12,400,2,pos,0.3668,1,2,1
22,100,4,pos,0.3673,1,2,1
5,100,2,pos,0.3678,1,2,1
3,400,6,pos,0.3681,1,2,1
23,100,6,neg,0.3682,0,1,1
19,100,4,pos,0.3683,1,2,1
22,2000,6,neg,0.3686,1,1,0
7,2000,8,pos,0.3688,1,2,1
12,2000,8,pos,0.3688,1,2,1
12,2000,4,neg,0.3692,1,1,0
12,2000,4,pos,0.3699,1,2,1
4,400,4,pos,0.37,1,2,1
22,2000,6,pos,0.37,0,2,0
10,400,2,pos,0.3703,1,2,1
12,400,4,int,0.3703,1,1,0
12,400,2,int,0.3704,1,1,0
4,400,4,neg,0.3706,0,1,1
4,400,4,pos,0.3708,0,2,0
22,2000,6,pos,0.371,0,2,0
22,400,4,pos,0.3711,1,2,1
22,400,8,neg,0.3711,1,1,0
7,400,2,pos,0.3714,1,2,1
7,2000,4,pos,0.3714,1,2,1
22,2000,4,pos,0.3714,1,2,1
13,2000,6,pos,0.3715,1,2,1
13,2000,4,pos,0.3715,1,2,1
22,2000,4,pos,0.3715,1,2,1
19,400,2,pos,0.3716,1,2,1
5,400,8,neg,0.3717,0,1,1
11,400,2,pos,0.3718,1,2,1
11,2000,4,neg,0.3718,1,1,0
6,2000,2,pos,0.3719,1,2,1
8,2000,2,pos,0.3719,1,2,1
13,2000,4,pos,0.3719,1,2,1
22,2000,4,pos,0.372,1,2,1
12,2000,4,int,0.3721,1,1,0
19,2000,4,pos,0.3721,1,2,1
6,2000,6,pos,0.3721,1,2,1
22,2000,4,neg,0.3722,1,1,0
8,2000,2,neg,0.3722,0,1,1
11,400,4,int,0.3722,1,1,0
24,400,8,pos,0.3723,0,2,0
12,400,8,int,0.3729,1,1,0
14,2000,4,pos,0.3733,1,2,1
12,2000,8,pos,0.375,1,2,1
6,100,8,int,0.3752,0,1,1
4,100,4,int,0.3754,1,1,0
1,2000,4,pos,0.3757,1,2,1
22,400,6,int,0.3758,1,1,0
23,100,8,pos,0.3761,1,2,1
23,100,6,neg,0.3763,1,1,0
7,2000,4,pos,0.3771,1,2,1
7,No,2,pos,0.3772,1,2,1
19,No,2,pos,0.3773,1,2,1
12,2000,2,pos,0.3773,1,2,1
1,2000,4,neg,0.3775,1,1,0
23,2000,2,pos,0.3779,1,2,1
12,2000,6,pos,0.3782,1,2,1
22,400,6,pos,0.3782,1,2,1
21,2000,8,pos,0.3783,1,2,1
11,400,4,pos,0.3786,1,2,1
12,2000,4,pos,0.3786,1,2,1
22,2000,4,pos,0.3787,1,2,1
7,2000,2,pos,0.3789,1,2,1
5,2000,4,pos,0.3791,0,2,0
4,400,2,pos,0.3791,1,2,1
22,2000,4,int,0.3791,1,1,0
22,400,6,int,0.3791,1,1,0
22,2000,2,pos,0.3792,1,2,1
22,400,8,pos,0.3792,0,2,0
4,400,2,pos,0.3793,1,2,1
24,2000,4,pos,0.3793,1,2,1
22,400,2,pos,0.3794,1,2,1
22,2000,4,neg,0.3796,1,1,0
11,2000,6,int,0.3796,0,1,1
14,2000,4,pos,0.3796,1,2,1
5,2000,4,pos,0.3797,1,2,1
13,400,4,pos,0.3797,1,2,1
7,400,2,pos,0.3797,1,2,1
18,400,4,pos,0.3797,1,2,1
19,2000,6,pos,0.3798,1,2,1
23,2000,6,pos,0.3798,1,2,1
11,2000,2,pos,0.3798,1,2,1
12,2000,4,int,0.3799,1,1,0
12,400,4,pos,0.38,1,2,1
9,2000,4,pos,0.38,1,2,1
12,400,4,pos,0.3801,1,2,1
19,400,2,pos,0.3801,1,2,1
8,400,2,pos,0.3801,1,2,1
12,400,2,pos,0.3805,1,2,1
3,400,4,neg,0.3807,1,1,0
12,2000,2,pos,0.3814,1,2,1
4,100,8,int,0.3827,0,1,1
12,400,6,pos,0.3832,1,2,1
5,100,6,pos,0.3836,1,2,1
5,100,4,pos,0.3837,1,2,1
22,100,4,pos,0.3837,1,2,1
6,100,6,pos,0.384,1,2,1
23,100,6,pos,0.3841,0,2,0
7,100,6,pos,0.3842,1,2,1
12,2000,8,neg,0.3845,1,1,0
8,400,6,pos,0.3849,1,2,1
12,400,2,neg,0.3852,1,1,0
12,400,6,pos,0.3859,1,2,1
22,2000,8,neg,0.3859,1,1,0
12,400,6,int,0.3861,1,1,0
12,2000,2,neg,0.3862,1,1,0
14,2000,2,pos,0.3863,1,2,1
12,400,6,pos,0.3865,1,2,1
4,400,4,pos,0.3865,0,2,0
22,400,6,pos,0.3868,1,2,1
22,2000,8,neg,0.3868,1,1,0
4,400,4,pos,0.3869,0,2,0
8,No,6,pos,0.3869,0,2,0
22,2000,4,int,0.3869,1,1,0
22,400,8,neg,0.3869,1,1,0
5,2000,2,pos,0.387,0,2,0
5,2000,2,pos,0.387,1,2,1
4,400,8,int,0.387,1,1,0
12,400,2,pos,0.3871,1,2,1
22,400,2,pos,0.3871,1,2,1
19,2000,2,pos,0.3874,1,2,1
11,2000,6,pos,0.3874,1,2,1
23,No,8,neg,0.3874,0,1,1
19,2000,4,pos,0.3875,1,2,1
12,2000,4,int,0.3875,1,1,0
19,2000,2,pos,0.3875,1,2,1
18,400,4,pos,0.3875,1,2,1
7,2000,4,pos,0.3875,1,2,1
5,2000,2,pos,0.3876,1,2,1
22,2000,2,pos,0.3876,0,2,0
14,2000,2,pos,0.3876,1,2,1
19,400,2,pos,0.3877,1,2,1
22,2000,4,pos,0.3877,1,2,1
23,No,6,pos,0.3877,1,2,1
7,2000,8,int,0.3877,0,1,1
8,400,2,pos,0.3877,1,2,1
16,400,8,int,0.3877,0,1,1
5,400,2,pos,0.3878,1,2,1
19,400,6,pos,0.3878,1,2,1
22,2000,4,neg,0.3878,1,1,0
8,400,2,pos,0.3879,1,2,1
8,2000,4,pos,0.388,1,2,1
18,2000,4,pos,0.388,1,2,1
6,400,6,neg,0.388,1,1,0
7,2000,6,pos,0.388,1,2,1
19,2000,6,pos,0.3881,1,2,1
9,2000,4,pos,0.3881,1,2,1
22,2000,4,pos,0.3882,1,2,1
3,400,4,int,0.3882,1,1,0
7,400,2,pos,0.3882,1,2,1
21,400,2,pos,0.3882,1,2,1
12,400,4,pos,0.3883,1,2,1
19,400,4,pos,0.3883,1,2,1
11,2000,4,neg,0.3883,1,1,0
19,2000,8,pos,0.3884,1,2,1
12,2000,2,neg,0.3884,1,1,0
9,400,6,pos,0.3884,1,2,1
12,400,2,pos,0.3885,1,2,1
6,400,6,pos,0.3885,1,2,1
12,400,2,neg,0.3887,1,1,0
3,400,8,pos,0.3887,0,2,0
12,400,2,pos,0.3891,1,2,1
12,2000,6,pos,0.3893,1,2,1
12,2000,2,pos,0.3918,1,2,1
6,100,4,pos,0.3919,1,2,1
23,100,8,pos,0.3919,0,2,0
6,100,4,pos,0.392,1,2,1
22,400,6,pos,0.392,0,2,0
6,100,8,int,0.3921,1,1,0
6,100,6,pos,0.3926,1,2,1
4,400,4,int,0.393,1,1,0
13,2000,2,pos,0.3932,1,2,1
11,400,4,neg,0.3932,1,1,0
12,400,2,int,0.3934,1,1,0
11,400,2,pos,0.3936,1,2,1
6,2000,2,pos,0.3938,1,2,1
12,2000,6,int,0.394,1,1,0
12,400,2,pos,0.3941,1,2,1
12,2000,2,pos,0.3941,1,2,1
14,No,2,pos,0.3945,1,2,1
22,400,2,int,0.3946,1,1,0
4,400,2,pos,0.3949,0,2,0
5,2000,4,pos,0.3952,1,2,1
5,2000,6,neg,0.3953,0,1,1
13,2000,8,pos,0.3953,1,2,1
18,2000,4,pos,0.3953,1,2,1
22,2000,4,neg,0.3953,1,1,0
22,400,2,pos,0.3953,1,2,1
22,400,2,neg,0.3953,1,1,0
22,400,6,int,0.3954,1,1,0
13,400,2,pos,0.3955,1,2,1
19,400,8,pos,0.3955,1,2,1
22,2000,6,int,0.3955,0,1,1
11,2000,4,pos,0.3955,1,2,1
8,2000,4,pos,0.3955,1,2,1
13,2000,8,pos,0.3955,1,2,1
19,No,2,pos,0.3956,1,2,1
19,No,2,pos,0.3957,1,2,1
22,2000,6,neg,0.3957,1,1,0
20,2000,2,pos,0.3957,1,2,1
8,400,8,pos,0.3957,1,2,1
18,2000,4,pos,0.3957,1,2,1
21,400,2,pos,0.3957,1,2,1
19,2000,8,pos,0.3959,1,2,1
19,2000,6,pos,0.3959,1,2,1
22,2000,6,pos,0.396,1,2,1
20,2000,2,neg,0.396,1,1,0
11,400,2,pos,0.396,1,2,1
19,2000,4,pos,0.3961,1,2,1
22,2000,2,pos,0.3961,1,2,1
6,2000,8,neg,0.3961,1,1,0
7,2000,6,pos,0.3961,1,2,1
7,2000,2,pos,0.3962,1,2,1
1,2000,8,neg,0.3963,0,1,1
19,2000,4,pos,0.3963,1,2,1
7,400,2,int,0.3963,1,1,0
7,400,2,pos,0.3963,1,2,1
19,400,2,pos,0.3965,1,2,1
24,2000,8,pos,0.3965,0,2,0
12,100,4,int,0.3988,0,1,1
11,100,2,pos,0.3997,1,2,1
6,100,6,int,0.3997,0,1,1
5,100,2,pos,0.3999,1,2,1
6,100,6,pos,0.4002,1,2,1
5,2000,4,pos,0.4004,1,2,1
5,2000,2,int,0.4013,0,1,1
14,400,2,pos,0.4013,1,2,1
22,2000,6,int,0.4014,1,1,0
12,2000,2,pos,0.4017,1,2,1
12,400,4,pos,0.402,1,2,1
12,2000,6,neg,0.4021,1,1,0
22,2000,8,pos,0.4025,0,2,0
4,400,2,pos,0.4027,1,2,1
5,400,4,pos,0.4029,1,2,1
22,400,4,pos,0.4029,1,2,1
22,2000,4,pos,0.403,0,2,0
7,400,2,pos,0.4031,1,2,1
11,2000,6,pos,0.4031,1,2,1
22,2000,4,neg,0.4031,1,1,0
14,2000,4,pos,0.4031,1,2,1
5,2000,8,pos,0.4032,1,2,1
7,2000,4,int,0.4032,1,1,0
23,No,4,int,0.4032,1,1,0
5,400,6,pos,0.4033,1,2,1
13,2000,8,pos,0.4033,1,2,1
7,2000,4,pos,0.4033,1,2,1
22,2000,2,pos,0.4033,1,2,1
5,400,6,int,0.4034,0,1,1
18,2000,4,pos,0.4034,1,2,1
22,400,2,int,0.4034,1,1,0
22,400,2,pos,0.4034,1,2,1
8,400,4,pos,0.4034,1,2,1
13,2000,6,pos,0.4034,1,2,1
5,400,2,pos,0.4035,1,2,1
11,2000,6,pos,0.4035,1,2,1
22,2000,2,neg,0.4035,1,1,0
22,400,2,pos,0.4035,1,2,1
22,400,2,neg,0.4036,1,1,0
5,2000,8,neg,0.4037,0,1,1
19,400,4,neg,0.4037,1,1,0
19,400,6,int,0.4038,1,1,0
11,400,2,pos,0.4038,1,2,1
22,2000,6,int,0.4039,1,1,0
11,2000,4,pos,0.4039,1,2,1
6,2000,8,pos,0.4039,1,2,1
6,2000,8,pos,0.4039,1,2,1
8,400,6,pos,0.4039,1,2,1
13,2000,8,pos,0.4039,1,2,1
7,2000,2,pos,0.4039,1,2,1
13,400,2,pos,0.404,1,2,1
19,2000,2,pos,0.4041,1,2,1
8,2000,2,pos,0.4041,1,2,1
19,400,2,pos,0.4042,1,2,1
12,400,2,pos,0.4042,1,2,1
12,2000,2,pos,0.4042,1,2,1
19,400,6,pos,0.4042,1,2,1
21,400,2,pos,0.4042,1,2,1
12,400,4,pos,0.4042,1,2,1
8,2000,6,pos,0.4042,1,2,1
19,2000,4,pos,0.4043,1,2,1
12,2000,4,pos,0.4043,1,2,1
24,No,8,pos,0.4043,0,2,0
19,400,2,pos,0.4044,1,2,1
19,2000,6,pos,0.4044,1,2,1
19,2000,4,pos,0.4045,1,2,1
12,400,2,neg,0.4045,1,1,0
19,400,6,pos,0.4046,1,2,1
11,400,2,pos,0.4046,1,2,1
12,400,4,pos,0.4058,1,2,1
12,400,6,pos,0.407,1,2,1
8,2000,4,neg,0.4073,1,1,0
6,100,8,pos,0.4077,1,2,1
5,100,4,neg,0.4078,0,1,1
6,100,8,neg,0.4078,1,1,0
17,100,2,pos,0.4079,1,2,1
6,100,6,int,0.4081,1,1,0
24,100,4,pos,0.4082,1,2,1
11,100,6,pos,0.4082,1,2,1
6,100,4,int,0.4083,0,1,1
12,100,2,pos,0.4085,1,2,1
13,2000,8,pos,0.4088,1,2,1
8,400,8,pos,0.4088,1,2,1
20,2000,4,pos,0.4095,1,2,1
7,400,4,pos,0.4099,1,2,1
4,400,8,int,0.41,1,1,0
11,400,6,pos,0.41,1,2,1
12,400,2,pos,0.4101,1,2,1
22,2000,6,pos,0.4103,1,2,1
4,400,6,int,0.4105,0,1,1
23,2000,8,pos,0.4107,1,2,1
12,400,2,pos,0.4108,0,2,0
22,400,8,pos,0.4108,0,2,0
22,2000,6,pos,0.4109,1,2,1
5,400,2,pos,0.411,1,2,1
22,400,2,neg,0.4111,1,1,0
19,2000,8,pos,0.4112,1,2,1
22,2000,2,pos,0.4112,1,2,1
7,2000,4,int,0.4112,1,1,0
13,2000,4,pos,0.4113,1,2,1
13,No,4,pos,0.4113,1,2,1
22,400,2,pos,0.4114,1,2,1
22,400,2,int,0.4114,1,1,0
18,400,4,pos,0.4115,1,2,1
6,400,6,neg,0.4115,1,1,0
22,2000,8,int,0.4117,1,1,0
11,2000,4,pos,0.4117,1,2,1
6,2000,4,pos,0.4117,1,2,1
14,2000,6,pos,0.4117,1,2,1
7,2000,2,pos,0.4117,1,2,1
11,400,4,neg,0.4118,1,1,0
21,400,4,pos,0.4118,1,2,1
13,2000,6,pos,0.4119,1,2,1
18,400,2,pos,0.4119,1,2,1
13,400,6,pos,0.412,1,2,1
19,2000,8,pos,0.412,1,2,1
22,2000,2,pos,0.412,1,2,1
23,2000,4,pos,0.412,1,2,1
6,2000,2,pos,0.412,1,2,1
12,400,8,pos,0.4121,1,2,1
6,400,6,pos,0.4121,0,2,0
12,2000,8,pos,0.4121,1,2,1
11,400,8,neg,0.4121,0,1,1
3,400,6,int,0.4121,1,1,0
19,400,8,pos,0.4122,1,2,1
18,400,2,pos,0.4122,1,2,1
6,2000,2,pos,0.4123,1,2,1
12,400,2,int,0.4124,1,1,0
12,400,2,neg,0.4125,1,1,0
22,100,4,pos,0.4135,1,2,1
12,400,2,neg,0.414,1,1,0
4,100,6,int,0.4146,0,1,1
4,100,8,pos,0.415,1,2,1
1,2000,2,pos,0.4156,1,2,1
6,100,8,pos,0.4156,1,2,1
5,100,8,int,0.4157,0,1,1
6,100,2,int,0.4157,0,1,1
5,100,6,pos,0.4159,1,2,1
23,100,2,pos,0.4162,0,2,0
23,100,2,pos,0.4164,1,2,1
7,100,8,pos,0.4165,1,2,1
22,400,4,pos,0.4172,1,2,1
21,400,4,pos,0.4173,1,2,1
19,2000,2,pos,0.4174,1,2,1
4,400,2,int,0.4175,0,1,1
11,400,2,int,0.4176,1,1,0
12,2000,6,pos,0.4177,1,2,1
13,400,4,pos,0.418,1,2,1
12,2000,4,pos,0.4181,1,2,1
22,2000,4,pos,0.4181,1,2,1
12,2000,4,pos,0.4185,1,2,1
13,2000,2,pos,0.4186,1,2,1
4,400,6,int,0.4187,1,1,0
20,400,2,pos,0.4187,1,2,1
22,400,8,int,0.4187,1,1,0
5,2000,6,pos,0.4189,1,2,1
22,400,4,pos,0.419,0,2,0
7,2000,4,int,0.419,1,1,0
22,400,4,int,0.4191,1,1,0
10,400,4,pos,0.4191,1,2,1
22,2000,4,neg,0.4191,1,1,0
5,400,6,int,0.4192,0,1,1
5,2000,2,neg,0.4192,0,1,1
20,400,2,pos,0.4192,1,2,1
22,2000,2,neg,0.4192,1,1,0
16,400,8,int,0.4192,0,1,1
8,2000,8,pos,0.4193,1,2,1
8,2000,2,pos,0.4193,1,2,1
22,2000,4,int,0.4194,1,1,0
22,400,4,neg,0.4194,1,1,0
19,No,4,pos,0.4196,1,2,1
6,2000,4,int,0.4196,0,1,1
14,2000,2,int,0.4196,1,1,0
13,2000,2,int,0.4197,1,1,0
11,2000,4,int,0.4197,1,1,0
12,No,2,pos,0.4198,1,2,1
19,2000,4,pos,0.4198,1,2,1
22,2000,8,pos,0.4198,0,2,0
24,2000,8,pos,0.4198,1,2,1
8,400,4,pos,0.4198,1,2,1
19,400,2,pos,0.4199,1,2,1
12,2000,2,int,0.4199,1,1,0
19,400,2,pos,0.4199,1,2,1
8,400,2,neg,0.4199,1,1,0
12,2000,8,int,0.42,1,1,0
11,400,2,pos,0.42,1,2,1
11,2000,8,pos,0.42,1,2,1
11,2000,8,pos,0.42,0,2,0
16,2000,6,pos,0.42,1,2,1
13,400,2,pos,0.4201,1,2,1
13,400,4,int,0.4201,1,1,0
12,2000,2,neg,0.4201,1,1,0
12,2000,4,pos,0.4201,1,2,1
19,400,2,pos,0.4201,1,2,1
6,400,8,neg,0.4201,1,1,0
8,2000,6,pos,0.4201,1,2,1
11,2000,2,int,0.4201,1,1,0
11,2000,4,int,0.4201,1,1,0
6,400,4,pos,0.4201,1,2,1
