subj_idx,CSI,size,probe,rt,correct,stim,response
3,100,6,pos,1.5363,1,2,1
15,100,4,pos,1.5365,1,2,1
21,No,8,int,1.5373,0,1,1
1,No,6,int,1.5374,1,1,0
1,No,2,pos,1.5375,1,2,1
12,No,8,pos,1.5376,1,2,1
1,100,6,neg,1.5377,1,1,0
12,No,6,int,1.5377,1,1,0
5,2000,6,pos,1.5383,0,2,0
5,400,6,neg,1.5385,1,1,0
9,400,4,int,1.5385,1,1,0
4,2000,8,neg,1.5389,1,1,0
10,2000,6,int,1.539,0,1,1
7,400,6,pos,1.5391,1,2,1
12,2000,8,pos,1.5392,1,2,1
10,No,8,pos,1.5392,1,2,1
18,No,2,pos,1.5393,1,2,1
21,No,8,int,1.5394,1,1,0
4,No,4,neg,1.5394,1,1,0
14,100,2,int,1.5394,1,1,0
17,2000,2,pos,1.5394,1,2,1
6,No,4,pos,1.5395,1,2,1
12,No,2,pos,1.5396,1,2,1
4,No,8,neg,1.5396,1,1,0
2,No,4,pos,1.5397,1,2,1
2,400,8,pos,1.5398,1,2,1
19,2000,8,pos,1.5398,0,2,0
7,400,8,int,1.5398,0,1,1
9,No,8,int,1.5398,1,1,0
15,400,8,neg,1.5399,1,1,0
4,No,6,int,1.5399,0,1,1
3,No,6,neg,1.5399,0,1,1
13,400,8,int,1.5399,1,1,0
19,2000,8,pos,1.54,1,2,1
24,2000,2,pos,1.5403,1,2,1
12,No,6,pos,1.5403,1,2,1
1,400,4,int,1.541,1,1,0
10,100,2,int,1.5428,1,1,0
13,100,6,int,1.5437,1,1,0
8,100,6,neg,1.5438,1,1,0
15,100,6,int,1.544,1,1,0
19,100,8,pos,1.544,1,2,1
16,100,6,neg,1.544,1,1,0
2,100,4,int,1.5441,1,1,0
2,100,4,int,1.5441,1,1,0
4,400,6,neg,1.5443,1,1,0
20,100,2,pos,1.5443,1,2,1
17,100,6,pos,1.5443,1,2,1
13,100,4,int,1.5444,1,1,0
20,100,6,pos,1.5445,1,2,1
12,No,8,neg,1.5446,1,1,0
9,2000,8,pos,1.5455,1,2,1
4,2000,8,neg,1.5468,1,1,0
5,2000,8,neg,1.547,0,1,1
4,2000,2,neg,1.5471,0,1,1
19,400,8,pos,1.5471,1,2,1
20,2000,8,int,1.5472,0,1,1
19,No,2,neg,1.5474,1,1,0
16,No,6,pos,1.5475,1,2,1
20,2000,8,int,1.5476,1,1,0
19,2000,8,int,1.5479,0,1,1
20,400,4,pos,1.5479,1,2,1
10,No,2,pos,1.5479,1,2,1
2,No,6,pos,1.548,1,2,1
6,2000,6,int,1.5482,1,1,0
3,2000,8,int,1.5486,1,1,0
1,2000,4,int,1.5487,1,1,0
1,100,2,pos,1.5488,1,2,1
19,100,4,int,1.5492,1,1,0
3,100,2,pos,1.5494,1,2,1
2,100,2,neg,1.5498,1,1,0
18,100,8,pos,1.5516,0,2,0
3,100,2,pos,1.5518,1,2,1
17,100,4,pos,1.5518,1,2,1
17,100,6,pos,1.5519,1,2,1
12,No,6,int,1.552,1,1,0
11,100,6,int,1.552,0,1,1
16,100,2,int,1.552,1,1,0
8,100,6,neg,1.5522,0,1,1
16,100,6,int,1.5522,1,1,0
2,100,6,pos,1.5527,1,2,1
3,2000,8,pos,1.5527,1,2,1
10,400,2,pos,1.5534,1,2,1
4,No,8,pos,1.554,0,2,0
4,No,8,pos,1.5546,0,2,0
13,No,8,pos,1.555,1,2,1
12,2000,8,int,1.555,1,1,0
3,2000,6,pos,1.5554,0,2,0
20,2000,8,int,1.5554,0,1,1
17,No,6,pos,1.5554,1,2,1
15,No,8,pos,1.5555,1,2,1
4,No,2,int,1.5556,1,1,0
10,No,4,pos,1.5556,1,2,1
2,No,6,pos,1.5558,1,2,1
19,No,6,neg,1.5558,1,1,0
20,2000,4,int,1.5558,1,1,0
20,2000,6,int,1.5559,0,1,1
10,No,8,neg,1.5559,1,1,0
15,400,6,pos,1.556,0,2,0
17,400,8,neg,1.556,1,1,0
2,No,4,int,1.5561,1,1,0
12,No,2,pos,1.557,1,2,1
24,100,6,int,1.5574,1,1,0
20,100,4,int,1.5588,1,1,0
10,100,2,pos,1.559,0,2,0
3,100,2,neg,1.5597,1,1,0
15,100,6,pos,1.5601,1,2,1
10,100,8,neg,1.5602,1,1,0
8,No,8,pos,1.5603,1,2,1
11,100,8,int,1.5604,1,1,0
10,100,4,int,1.5606,1,1,0
9,100,8,pos,1.5609,1,2,1
24,400,6,pos,1.5611,1,2,1
2,400,2,int,1.5612,1,1,0
20,No,4,neg,1.5613,1,1,0
2,400,8,pos,1.5616,1,2,1
10,2000,2,int,1.5617,1,1,0
5,400,8,int,1.5623,1,1,0
11,No,8,pos,1.5623,1,2,1
12,No,4,neg,1.5624,1,1,0
3,No,8,pos,1.5627,1,2,1
20,No,8,neg,1.5631,1,1,0
18,400,6,pos,1.5634,1,2,1
17,No,4,pos,1.5634,0,2,0
21,2000,8,pos,1.5635,1,2,1
18,No,2,neg,1.5635,1,1,0
23,No,4,int,1.5635,1,1,0
12,No,6,pos,1.5636,1,2,1
11,2000,8,neg,1.5636,0,1,1
9,No,8,int,1.5637,0,1,1
8,400,4,int,1.5637,1,1,0
15,No,6,pos,1.5638,0,2,0
20,2000,4,int,1.5638,1,1,0
4,2000,8,neg,1.5638,1,1,0
6,2000,8,int,1.5638,1,1,0
