3 1 2 3 6 5 7 4  1263  452  1279  11661  2182  1843  452 0 0 0 0  1158  898  484  597 
3 4 5 2 3 1 6 7  15908  602  3235  715  1054  1580  2257 0 0 0 0  1571  634  860  597 
3 1 2 3 4 7 6 5  1902  1054  462  4251  4702  744  865 0 0 0 0  1346  1011  521  1161 
3 1 5 2 4 3 7 6  1187  564  715  564  4213  677  602 0 0 0 0  2173  1086  672  1010 
3 5 2 3 4 1 6 7  9200  377  8765  602  1768  452  753 0 0 0 0  1461  823  559  898 
3 1 2 3 6 4 7 5  1112  1068  489  1166  4138  339  564 0 0 0 0  1497  1086  898  898 
3 3 7 4 6 1 2 5  1489  489  1618  414  22460  563  715 0 0 0 0  1798  521  973  1048 
3 5 3 6 4 1 7 2  11271  425  752  1994  3574  377  265 0 0 0 0  1475  521  1086  935 
3 1 6 3 7 5 2 4  1656  452  489  414  4590  8728  265 0 0 0 0  1438  900  935  1048 
3 5 3 4 2 6 1 7  6229  414  4402  377  564  640  377 0 0 0 0  1459  935  860  898 
3 7 4 5 6 1 3 2  6115  14897  2370  1580  1505  527  564 0 0 0 0  970  1086  559  1086 
3 1 2 5 4 3 7 6  1601  414  8615  377  414  1731  1016 0 0 0 0  1534  936  1065  898 
3 1 7 6 4 3 2 5  1489  577  1919  1016  2333  2446  235 0 0 0 0  1685  802  935  785 
3 3 4 1 6 2 5 7  12699  1618  489  535  3348  6809  377 0 0 0 0  1610  935  898  975 
3 1 3 2 4 7 5 6  1300  1054  5605  377  1806  504  715 0 0 0 0  1497  990  898  1274 
3 2 3 1 6 4 5 7  1188  452  1543  339  2558  1843  1129 0 0 0 0  1647  823  862  823 
3 1 2 4 7 6 5 3  1112  414  1204  575  2483  527  452 0 0 0 0  1646  1123  522  538 
3 5 2 1 4 6 7 3  1601  1542  452  602  1129  1279  377 0 0 0 0  2037  898  559  860 
3 5 1 3 4 6 2 7  811  1256  414  527  6093  339  339 0 0 0 0  1344  1161  446  747 
3 1 6 3 4 5 7 2  1413  761  1317  414  6845  452  1392 0 0 0 0  930  935  446  710 
3 1 2 5 4 3 6 7  1487  489  452  790  5228  377  1279 0 0 0 0  1419  897  1048  973 
3 1 2 5 3 6 7 4  1201  945  489  6205  3911  527  414 0 0 0 0  1343  822  785  1123 
3 1 2 6 3 7 4 5  1374  903  828  452  12786  639  790 0 0 0 0  1795  1349  860  897 
3 1 7 2 4 5 3 6  6413  1166  1467  377  11281  1918  302 0 0 0 0  1155  822  446  935 
3 1 2 3 4 6 7 5  885  602  527  564  3046  564  640 0 0 0 0  1267  521  484  860 
3 1 6 2 3 4 5 7  1113  1354  16582  539  1880  1767  227 0 0 0 0  1116  935  860  1160 
3 5 3 1 4 2 6 7  6148  339  752  414  2941  414  489 0 0 0 0  1642  634  1048  446 
3 1 6 3 4 5 7 2  3066  1391  4136  940  1955  1354  489 0 0 0 0  1319  822  972  446 
3 1 5 6 4 3 7 2  1524  574  1654  752  4061  1767  489 0 0 0 0  1416  483  1047  596 
3 1 2 6 4 5 3 7  1412  526  752  451  5226  527  527 0 0 0 0  1115  1010  484  860 
3 5 1 3 4 2 7 6  923  339  827  451  8346  1128  865 0 0 0 0  1265  972  446  1010 
3 1 2 3 4 7 6 5  1025  526  1090  414  6091  790  790 0 0 0 0  1301  860  935  972 
3 1 2 6 4 3 7 5  1186  489  2003  339  2820  1099  339 0 0 0 0  1115  897  1085  935 
3 1 6 7 4 5 2 3  998  1166  1391  377  3948  827  377 0 0 0 0  1453  521  559  1047 
3 1 3 2 4 6 7 5  1954  414  1053  347  4060  489  1053 0 0 0 0  1340  1236  1386  1311 
3 2 1 5 6 4 3 7  4720  393  8045  414  2406  451  264 0 0 0 0  2017  1048  596  710 
3 3 2 4 1 5 6 7  17388  2068  8271  339  1316  2519  339 0 0 0 0  1829  597  973  484 
3 1 2 3 4 7 5 6  998  903  526  602  4135  978  526 0 0 0 0  2144  521  483  1687 
3 1 2 3 4 6 5 7  1750  602  610  564  6325  827  302 0 0 0 0  1302  596  1123  709 
3 1 2 5 4 3 6 7  998  944  564  526  3458  714  377 0 0 0 0  1451  598  972  860 
3 1 6 3 4 5 2 7  1109  314  790  1278  5488  1767  978 0 0 0 0  1263  1085  861  935 
3 6 3 2 7 5 1 4  27194  339  526  339  4548  339  677 0 0 0 0  1827  1010  483  446 
3 1 2 4 3 6 7 5  1073  790  1015  639  9697  339  602 0 0 0 0  1262  709  709  1085 
3 5 2 4 7 6 3 1  5169  526  601  1253  4285  377  602 0 0 0 1  1149  1386  1273  1273 
3 5 3 2 4 1 6 7  1596  11462  691  302  1474  264  264 0 0 0 0  1337  500  899  1310 
3 1 2 3 6 5 7 4  1186  489  489  526  1804  827  339 0 0 0 0  1826  410  897  747 
3 6 2 5 4 7 3 1  1448  2405  1879  302  8080  302  1240 0 0 0 0  1449  1085  446  671 
4 1 2 3 4 5 6 7  2166  340  340  489  2860  152  227 0 0 0 0  2784  860  635  727 
4 1 2 3 4 6 5 7  1866  903  565  2032  2860  452  414 0 0 0 0  2853  597  1086  635 
4 1 2 3 4 6 5 7  1339  265  340  715  2032  265  302 0 0 0 0  2554  559  560  1011 
4 1 2 3 4 5 6 7  1527  265  3019  302  1129  452  414 0 0 0 0  4171  597  710  710 
4 1 2 5 4 6 3 7  6833  715  2183  489  640  565  565 0 0 0 0  1989  597  1350  3043 
4 1 3 2 4 5 6 7  6608  340  527  1242  1543  152  152 0 0 0 0  3306  748  1954  484 
4 1 2 3 4 5 6 7  1715  340  941  489  3011  414  129 0 0 0 0  2516  522  634  672 
4 1 2 3 4 5 6 7  1791  115  602  77  2070  527  82 0 0 0 0  2817  672  1575  710 
4 1 2 3 4 5 6 7  4801  302  414  265  1995  302  265 0 0 0 0  3344  484  447  635 
4 1 2 3 4 5 6 7  2430  602  839  489  3914  152  227 0 0 0 0  2403  747  1086  635 
4 1 3 -9 2 4 5 6  1906  1132  2299  7170  2973  1318  452 0 0 0 0  2307  409  898  484 
4 1 2 3 4 5 6 7  1312  941  1129  1092  2221  302  227 0 0 0 0  2291  522  484  522 
4 1 2 3 4 5 6 7  2017  302  302  302  3124  489  152 0 0 0 0  4098  597  485  673 
4 1 2 3 4 5 6 7  924  377  340  527  1242  265  265 0 0 0 0  2780  823  560  748 
4 1 2 3 4 5 6 7  1904  489  377  377  1430  152  340 0 0 0 0  1425  635  522  672 
4 1 2 3 4 5 6 7  1226  302  340  302  2183  755  1205 0 0 0 0  2554  484  447  635 
4 1 2 3 4 5 6 7  3183  152  452  281  979  1245  565 0 0 0 0  2178  559  597  597 
4 1 2 3 4 5 6 7  1839  414  1167  377  2183  190  227 0 0 0 0  1425  522  635  635 
4 1 2 3 4 5 6 7  1302  377  1017  414  1995  340  377 0 0 0 0  3232  409  560  560 
4 1 2 3 4 5 6 7  963  377  377  340  1581  340  415 0 0 0 0  1840  823  898  748 
4 1 3 2 4 5 6 7  2656  377  941  640  1431  377  640 0 0 0 0  2346  522  559  597 
4 1 2 3 4 5 6 7  1302  644  527  577  903  302  265 0 0 0 0  2630  409  560  673 
4 1 2 3 4 5 6 7  1904  377  828  344  1167  425  78 0 0 1 0  1238  484  484  560 
4 1 2 6 4 5 3 7  2468  602  640  506  6662  1922  678 0 1 0 1  2366  1274  710  635 
4 1 2 4 3 5 6 7  1452  452  1318  870  5796  1129  640 0 0 0 0  4813  447  597  522 
4 1 2 3 4 5 6 7  963  1016  753  565  1543  227  340 0 0 0 0  1576  689  484  484 
4 1 2 3 4 5 6 7  888  414  348  452  1995  227  527 0 0 0 0  1275  635  1727  635 
4 1 2 4 3 5 6 7  1452  489  1257  3501  1431  377  341 0 0 0 0  3007  597  447  614 
4 1 2 3 4 5 6 7  962  602  678  603  941  565  765 0 0 0 0  1501  446  446  721 
4 1 2 3 4 6 5 7  1112  350  791  490  2259  866  866 0 0 0 0  3383  447  447  597 
4 1 2 3 4 5 6 7  774  414  753  414  1506  115  227 0 0 0 0  1556  973  710  597 
4 1 2 3 4 5 6 7  849  415  414  452  1657  377  452 0 0 0 0  1163  748  597  710 
4 4 2 3 4 5 6 7  1715  377  527  904  7717  640  1543 0 0 0 0  1388  522  409  560 
4 1 2 3 4 5 6 7  1188  340  602  1129  1544  302  302 0 0 0 0  1163  560  409  484 
4 1 2 3 4 5 6 7  1376  414  916  640  1920  415  415 0 0 0 0  899  973  538  446 
4 1 2 3 4 5 6 7  1112  302  377  377  1468  490  715 0 0 0 0  1502  823  1049  1576 
4 1 2 3 4 5 6 7  2166  883  678  452  791  565  452 0 0 0 0  1464  635  786  522 
4 1 2 3 4 5 6 7  1225  527  527  602  828  452  753 0 0 0 0  2443  446  597  5303 
4 1 2 3 4 5 6 7  924  678  791  391  1280  415  1016 0 0 0 0  1879  1726  635  559 
4 1 2 3 4 5 6 7  813  753  1205  1355  302  414  753 0 0 0 0  3949  484  560  484 
4 1 2 3 4 5 6 7  774  302  340  340  941  640  377 0 0 0 0  1293  446  446  409 
4 1 2 3 4 5 6 7  1112  467  1807  352  1769  302  302 0 0 1 0  2292  522  446  1086 
4 1 2 3 4 5 6 7  1317  115  452  452  2146  227  565 0 0 0 0  1276  559  597  635 
4 1 2 3 4 5 6 7  1338  415  227  302  504  979  716 0 0 0 0  1088  560  484  559 
4 1 2 3 4 5 6 7  736  489  565  527  602  394  1205 0 0 0 0  1088  522  522  672 
4 1 2 3 4 5 6 7  2279  227  302  265  1318  190  791 0 0 0 0  1464  2895  522  559 
4 1 2 3 4 6 5 7  661  340  415  302  1962  115  152 0 0 0 0  2443  559  2006  597 
4 1 2 3 4 5 6 7  1150  82  1314  77  1205  340  302 0 0 0 0  1050  1576  710  559 
4 1 2 3 4 6 5 7  736  340  265  340  4593  265  791 0 0 0 0  1840  446  522  673 
4 1 2 5 6 3 4 7  1715  190  3576  377  603  190  190 0 0 0 0  1352  522  2969  522 
4 1 2 3 4 5 6 7  1752  490  602  414  2259  227  732 0 0 0 0  1481  1727  635  748 
4 1 2 3 4 5 6 7  853  190  640  310  2108  190  227 0 0 0 0  975  447  522  637 
4 1 2 3 4 5 6 7  811  538  502  452  452  415  866 0 0 0 0  3309  1237  559  1087 
4 1 2 3 4 5 6 7  1527  152  904  152  1393  190  190 0 0 0 0  1578  673  522  1086 
4 1 2 3 4 5 6 7  887  415  602  415  377  377  640 0 0 0 0  2706  447  522  598 
4 1 2 3 4 5 6 7  2221  227  319  236  2560  340  265 0 0 0 0  1578  748  521  522 
4 1 2 3 4 5 6 7  1112  190  265  265  1485  1205  354 0 0 0 0  1728  484  560  748 
4 1 2 3 4 5 6 7  1564  452  415  602  1882  265  489 0 0 0 0  2368  1011  484  597 
4 1 2 5 4 6 3 7  1978  340  8959  640  1770  340  265 0 0 0 0  938  446  2481  1199 
4 1 2 3 4 5 6 7  1112  115  603  565  3162  198  1054 0 0 0 0  1351  522  823  748 
4 1 2 3 4 5 6 7  1489  527  1092  490  2259  941  78 0 0 0 0  1934  802  1576  539 
4 1 2 3 4 5 6 7  2355  227  2711  377  1732  265  227 0 0 0 0  2218  1124  673  710 
4 1 2 3 4 5 6 7  661  425  678  460  1092  265  265 0 0 0 0  1352  484  559  521 
4 1 2 3 4 5 6 7  839  527  640  527  2296  265  227 0 0 0 0  1239  484  484  522 
4 1 2 3 4 5 6 7  548  302  1054  340  527  302  377 0 0 0 0  3384  748  484  484 
4 1 2 3 4 5 6 7  1037  377  415  828  7153  190  227 0 0 0 0  1728  449  485  522 
4 1 2 3 4 5 6 7  715  452  565  452  1807  527  640 0 0 0 0  1878  522  560  597 
4 1 2 3 4 5 6 7  1527  340  415  602  1506  340  302 0 0 0 0  3702  597  1915  672 
4 1 2 3 4 5 6 7  698  565  490  462  415  489  415 0 0 0 0  1201  447  484  447 
4 1 2 3 4 5 6 7  698  377  340  340  1732  452  1130 0 0 0 0  1051  748  522  597 
4 1 2 3 4 5 6 7  585  415  565  340  1581  115  415 0 0 0 0  842  560  484  463 
4 1 2 3 4 5 6 7  623  565  415  302  678  715  452 0 0 0 0  1691  597  557  522 
4 1 2 3 4 5 6 7  1000  302  415  377  1506  227  302 0 0 0 0  1277  598  484  560 
4 1 2 3 4 5 6 7  2016  377  565  527  3388  265  190 0 0 0 0  976  484  522  597 
