3 1 2 4 5 7 3 6  2687  1653  413  9576  977  1239  901 0 0 0 0  2647  933  1572  1159 
3 5 2 3 4 1 6 7  13351  488  601  1089  1577  977  488 0 0 0 0  1741  1401  1459  1046 
3 5 6 3 2 4 1 7  17139  227  302  2967  264  1803  639 0 0 0 0  1592  971  671  558 
3 2 1 7 3 6 4 5  4641  1052  638  2366  526  451  488 0 0 0 0  1555  1046  1046  1084 
3 1 2 3 6 4 7 5  2801  1052  1202  3943  1127  413  264 0 0 0 0  1780  971  558  821 
3 5 2 4 7 6 3 1  6819  301  339  2253  376  2891  1127 0 0 0 0  1104  1047  708  746 
3 6 1 3 5 2 4 7  12037  451  488  1502  826  526  639 0 0 0 0  2043  671  596  634 
3 1 2 4 3 7 5 6  2572  601  676  6271  751  1728  301 0 0 0 0  1855  1084  988  1086 
3 1 4 3 7 2 5 6  3964  826  563  3980  451  676  639 0 0 0 0  1442  1197  821  1047 
3 1 2 3 6 5 7 4  9859  751  451  10401  1014  826  339 0 0 0 0  3244  1047  596  1084 
3 3 4 1 2 5 6 7  11662  376  977  1164  339  488  1953 0 0 0 0  1456  709  971  521 
3 7 1 6 5 2 4 3  7119  227  376  3732  5820  497  413 0 0 0 0  1179  558  1009  521 
3 5 4 7 1 6 3 2  12563  11715  314  714  376  1427  301 0 0 0 0  1930  1047  671  558 
3 2 1 3 4 5 7 6  2613  1615  526  2516  1314  6571  451 0 0 0 0  1329  2548  929  1149 
3 7 2 4 6 3 5 1  1862  638  1277  1202  2403  1765  302 0 0 0 0  1365  1046  1459  634 
3 7 2 5 1 4 6 3  9859  639  376  1314  901  1615  339 0 0 0 0  1178  559  896  934 
3 1 7 2 4 3 6 5  2951  1652  2933  6871  7031  451  376 0 0 0 0  1818  596  934  896 
3 3 2 7 1 4 6 5  2763  764  414  976  789  2065  1202 0 0 0 0  1929  1159  784  725 
3 1 7 6 5 3 4 2  2988  413  488  7321  5294  2778  339 0 0 0 0  1516  558  520  1272 
3 1 2 3 4 7 6 5  2163  413  901  526  638  1314  3980 0 0 0 0  1480  1197  783  1534 
3 1 5 7 4 2 6 3  2961  301  301  2628  2778  272  264 0 0 0 0  1530  784  521  521 
3 1 2 3 7 5 6 4  3230  530  451  4092  3980  601  601 0 0 0 0  1818  784  1046  934 
3 1 2 6 5 3 4 7  2163  451  413  2403  3567  1164  939 0 0 0 0  1816  671  1086  934 
3 1 5 3 7 2 4 6  2200  536  563  2816  1852  789  339 0 0 0 0  1290  1274  934  1121 
3 1 2 3 7 4 6 5  15678  2178  376  1464  601  837  526 0 0 0 0  1629  1009  521  709 
3 1 2 3 4 5 6 7  1337  376  413  1690  864  451  451 0 0 0 0  1591  596  1084  633 
3 5 6 1 4 3 2 7  19168  376  939  1314  2186  2741  339 0 0 0 0  1291  633  859  896 
3 7 1 2 4 5 6 3  8357  451  413  1268  1690  864  488 0 0 0 0  1366  896  973  971 
3 1 2 3 4 5 6 7  1262  376  496  1352  3830  301  789 0 0 0 0  1328  913  521  746 
3 1 2 3 7 6 5 4  1862  1239  601  1727  3642  488  563 0 0 0 0  1741  483  521  1084 
3 4 2 6 1 5 3 7  7567  563  601  2178  1202  526  3116 0 0 0 0  1530  1121  521  408 
3 1 7 3 4 2 5 6  1637  501  526  939  5031  1014  413 0 0 0 0  1440  783  821  896 
3 6 2 3 4 1 5 7  3439  264  638  2328  1727  1014  376 0 0 0 0  1364  708  671  633 
3 1 4 5 1 7 3 -9  1410  2478  714  1127  801  17193  4543 0 0 0 0  1402  483  971  821 
3 1 2 3 5 7 4 6  2049  526  1164  6269  874  638  914 0 0 0 0  1365  671  1161  446 
3 1 2 3 4 6 5 7  1149  976  413  1464  939  1239  388 0 0 0 0  1139  1309  859  858 
3 1 5 4 7 3 6 2  1862  2966  1164  1314  10473  638  413 0 0 0 0  1589  558  558  558 
3 1 2 3 1 4 5 7  1411  451  676  2223  6945  563  413 0 0 0 0  1439  1046  746  558 
3 1 2 3 4 7 5 6  1487  488  803  1464  3491  789  1202 0 0 0 0  1739  671  1121  596 
