id,group,sex,age,session,memo,example,con,nblock,n,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,in_pos,in_nr,pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,1,24,1,1,0,1,1,4,9,4,15,36,1,2,1,8,1,4,4, ,689,0,2,689,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,10,1,15,37,1,1,1,6,6,1,1,379,631,1,0,631,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,10,2,15,38,1,2,1,5,2,2,2, ,485,0,1,485,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,10,3,15,39,1,1,1,1,1,3,3, ,874,1,0,874,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,10,4,15,40,1,2,1,2,9,4,4, ,556,0,2,556,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,11,1,15,41,1,2,1,7,5,1,1,423,607,0,2,607,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,11,2,15,42,1,1,1,6,6,2,2, ,573,1,0,573,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,11,3,15,43,1,2,1,9,3,3,3, ,652,0,2,652,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,11,4,15,44,1,1,1,1,1,4,4, ,609,1,0,609,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,12,1,15,45,1,2,1,3,4,1,1,346,641,0,2,641,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,12,2,15,46,1,1,1,5,5,2,2, ,706,1,0,706,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,12,3,15,47,1,2,1,6,2,3,3, ,661,0,2,661,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,12,4,15,48,1,2,1,7,8,4,4, ,1553,0,2, ,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,13,1,15,49,1,2,1,1,5,1,1,511,488,0,2,488,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,13,2,15,50,1,2,1,6,9,2,2, ,485,0,2,485,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,13,3,15,51,1,1,1,2,2,3,3, ,485,1,0,485,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,13,4,15,52,1,1,1,8,8,4,4, ,475,1,0,475,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,14,1,15,53,1,2,1,8,9,1,1,367,397,0,2,397,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,14,2,15,54,1,1,1,1,1,2,2, ,477,1,0,477,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,14,3,15,55,1,2,1,3,5,3,3, ,749,0,1,749,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,14,4,15,56,1,2,1,5,1,4,4, ,873,0,1,873,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,15,1,15,57,1,2,1,2,3,1,1,68,524,0,2,524,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,15,2,15,58,1,1,1,6,6,2,2, ,688,1,0,688,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,15,3,15,59,1,1,1,8,8,3,3, ,563,1,0,563,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,15,4,15,60,1,1,1,7,7,4,4, ,432,1,0,432,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,1,1,12,1,1,2,1,1,7,1,1,343,657,0,1,657,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,1,2,12,2,1,2,1,7,6,2,2, ,583,0,2,583,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,1,3,12,3,1,2,1,4,6,3,3, ,997,0,2,997,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,1,4,12,4,1,2,1,9,4,4,4, ,670,0,1,670,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,1,5,12,5,1,1,1,2,2,5,5, ,494,1,0,494,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,2,1,12,6,1,1,1,8,8,1,1,175,507,1,0,507,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,2,2,12,7,1,1,1,6,6,2,2, ,519,1,0,519,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,2,3,12,8,1,2,1,3,1,3,3, ,555,0,1,555,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,2,4,12,9,1,1,1,5,5,4,4, ,944,1,0,944,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,2,5,12,10,1,2,1,1,7,5,5, ,529,0,2,529,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,3,1,12,11,1,1,1,3,3,1,1,304,563,1,0,563,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,3,2,12,12,1,2,1,1,6,2,2, ,563,0,2,563,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,3,3,12,13,1,1,1,8,8,3,3, ,581,1,0,581,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,3,4,12,14,1,1,1,9,9,4,4, ,554,1,0,554,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,3,5,12,15,1,2,1,2,4,5,5, ,670,0,2,670,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,4,1,12,16,1,2,1,9,2,1,1,282,778,0,2,778,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,4,2,12,17,1,1,1,6,6,2,2, ,600,1,0,600,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,4,3,12,18,1,1,1,7,7,3,3, ,581,1,0,581,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,4,4,12,19,1,1,1,4,4,4,4, ,431,1,0,431,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,4,5,12,20,1,1,1,1,1,5,5, ,406,1,0,406,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,5,1,12,21,1,1,1,9,9,1,1,182,558,1,0,558,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,5,2,12,22,1,2,1,7,8,2,2, ,536,0,2,536,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,5,3,12,23,1,1,0,3,7,3,3, ,608,0,1, ,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,5,4,12,24,1,2,1,6,4,4,4, ,758,0,2,758,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,5,5,12,25,1,1,1,5,5,5,5, ,627,1,0,627,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,6,1,12,26,1,1,1,6,6,1,1,260,641,1,0,641,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,6,2,12,27,1,2,1,9,2,2,2, ,555,0,2,555,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,6,3,12,28,1,1,1,7,7,3,3, ,520,1,0,520,561.555555555556,133.348603292273,961.601365432375,2
