id,group,sex,age,session,memo,con,nblock,n,example,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,22,1,1,3,1,3,0,13,1,20,37,2,1,1,6,4,3,684,1167,0,2,1167,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,1,3,0,13,2,20,38,2,2,1,9,9,2, ,620,1,0,620,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,1,3,0,13,3,20,39,2,2,1,8,6,1, ,808,1,0,808,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,1,1,3,0,14,1,20,40,2,1,1,8,9,1,524,1309,0,1,1309,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,1,3,0,14,2,20,41,2,1,1,9,1,2, ,873,0,1,873,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,1,3,0,14,3,20,42,2,1,1,1,6,3, ,583,0,2,583,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,4,1,3,0,15,1,20,43,2,1,1,2,2,3,369,955,0,1,955,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,1,3,0,15,2,20,44,2,2,1,7,2,1, ,1037,1,0,1037,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,1,3,0,15,3,20,45,2,1,1,4,2,2, ,1167,0,1,1167,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,1,3,0,16,1,20,46,2,2,1,5,4,2,973,1122,1,0,1122,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,1,3,0,16,2,20,47,2,1,1,4,4,1, ,922,0,1,922,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,1,3,0,16,3,20,48,2,1,1,2,5,3, ,906,0,1,906,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,3,1,3,0,17,1,20,49,2,1,1,5,9,3,743,1136,0,2,1136,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,1,3,0,17,2,20,50,2,1,1,7,5,2, ,1173,0,1,1173,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,1,3,0,17,3,20,51,2,1,1,1,7,1, ,800,0,1,800,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,1,1,3,0,18,1,20,52,2,2,1,6,6,1,577,775,1,0,775,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,1,3,0,18,2,20,53,2,2,1,2,2,2, ,545,1,0,545,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,1,3,0,18,3,20,54,2,1,1,5,9,3, ,590,0,2,590,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,1,3,0,19,1,20,55,2,2,1,8,8,1,1192,778,1,0,778,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,1,3,0,19,2,20,56,2,2,1,7,7,2, ,568,1,0,568,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,1,3,0,19,3,20,57,2,2,1,2,2,3, ,548,1,0,548,757.6,408.877053579459,1984.23116073838,4
