id,group,sex,age,session,memo,example,con,nblock,n,trial,out_nr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,21,1,1,0,1,1,4,10,1,15,37,1,2,1,6,9,1,1081,883,0,2,883,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,10,2,15,38,1,1,1,5,5,2, ,825,1,0,825,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,10,3,15,39,1,1,1,3,3,3, ,759,1,0,759,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,10,4,15,40,1,1,1,1,1,4, ,813,1,0,813,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,11,1,15,41,1,1,1,3,3,1,901,763,1,0,763,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,11,2,15,42,1,1,1,9,9,2, ,497,1,0,497,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,11,3,15,43,1,1,1,4,4,3, ,512,1,0,512,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,11,4,15,44,1,2,1,5,9,4, ,480,0,1,480,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,12,1,15,45,1,1,1,3,3,1,858,671,1,0,671,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,12,2,15,46,1,2,1,4,5,2, ,670,0,2,670,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,12,3,15,47,1,1,1,1,1,3, ,668,1,0,668,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,12,4,15,48,1,1,1,6,6,4, ,871,1,0,871,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,13,1,15,49,1,1,1,1,1,1,1908,868,1,0,868,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,13,2,15,50,1,2,1,7,5,2, ,557,0,2,557,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,13,3,15,51,1,2,1,8,9,3, ,774,0,2,774,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,13,4,15,52,1,1,1,6,6,4, ,735,1,0,735,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,14,1,15,53,1,1,1,8,8,1,1213,854,1,0,854,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,14,2,15,54,1,1,1,2,2,2, ,642,1,0,642,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,14,3,15,55,1,2,1,3,8,3, ,681,0,1,681,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,14,4,15,56,1,2,1,1,7,4, ,675,0,2,675,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,15,1,15,57,1,1,1,9,9,1,2694,824,1,0,824,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,15,2,15,58,1,2,1,7,1,2, ,557,0,2,557,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,15,3,15,59,1,1,1,8,8,3, ,658,1,0,658,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,15,4,15,60,1,2,1,2,3,4, ,516,0,2,516,643.444444444444,184.943788065644,1198.27580864138,1
