PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P2 BSEP,,,,,,,,,,,,,,,,,,,
AGE:,20,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
Presentation Time:,3.433333,3.066667,2.866667,3.983333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,good,cow,book,eyes,,,1,0,0,1,,0,,,,,,,,
Response:,good,book,wand,eyes,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The big noisy dog chased the cat,The rocket made a noise as it went into outer space,'Quack quack' said the mother to the little duck,An important woman with a crown is called a queen,,,,,,,,,,,,,,,,
Presentation Time:,3.283333,3.283333,2.65,3.15,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,fire,ball,yellow,grass,,,1,1,1,1,,1,,,,,,,,
Response:,fire,ball,yellow,grass,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Jim sometimes goes out to eat fish and chips,The post box on the street is coloured red,If I don't have a coat and it rains I will get wet,My nice white teeth are in my mouth,,,,,,,,,,,,,,,,
Presentation Time:,3.083333,3.1,3.05,3.733333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,legs,five,door,seek,,,1,1,1,1,,1,,,,,,,,
Response:,legs,five,door,seek,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,37316,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I went to the swimming pool with Dad to swim,The farm animals that wool comes from are sheep,He rowed across the river in a rowing boat,Around the track and 'choo choo' goes the train,Daffy is a duck and Snoopy is a dog,,,,,,,,,,,,,,,
Presentation Time:,2.866667,3.866667,3.183333,4.65,4.316667,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,feet,nine,hair,hands,teeth,,1,0,0,0,0,0,,,,,,,,
Response:,feet,seek,duck,dk,dk,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,A dog is an animal and a robin is a bird,Ben ran faster so that he could win the race,While I was sleeping I had a strange dream,The sky on a sunny day is coloured blue,If my hair gets too long I have it cut,,,,,,,,,,,,,,,
Presentation Time:,2.766667,3.25,2.8,3.85,3.683333,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,hill,drink,cold,listen,laugh,,1,0,0,0,0,0,,,,,,,,
Response:,hill,laugh,grass,dk,dk,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Snow is very cold and the colour white,I blew the candles out on my birthday cake,A dog is in the park and it runs very fast,The leaves grow in the big tall trees,Jane went to the baker who made a loaf of bread,,,,,,,,,,,,,,,
Presentation Time:,2.766667,2.95,3.1,3.65,3.983333,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,short,brush,king,egg,chair,,1,0,0,0,0,0,,,,,,,,
Response:,short,king,air,dog,bread,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Five Score:,0/3,,,,,,,,,,,,,,,,,,,
